,oppB
Cr_1,-0.00016247568371448182
Cr_2,0.0023342832327051502
Cr_3,0.010298823770309969
Cr_4,0.017443368363264784
Cr_5,0.02110056760194121
Cr_6,0.025591086221902738
Fe_1,-0.019593188750176696
Fe_2,-0.05253026670044046
Fe_3,-0.07896493442399788
Fe_4,-0.1032326997974514
Fe_5,-0.1273044153319281
Fe_6,-0.13798510018094545
Cd_1,-0.0007410097253543692
Cd_2,-0.004281358045199645
Cd_3,-0.0038535244910371897
Cd_4,-0.003948952579550525
Cd_5,-0.009544684733620652
Cd_6,-0.01120032360450363
Zn_1,0.001294279370212648
Zn_2,0.003871316040466933
Zn_3,0.013167298920708441
Zn_4,0.015853306210706058
Zn_5,0.0246453710541763
Zn_6,0.031528055892429005
Cu_1,0.002789312797890461
Cu_2,0.00452322246421231
Cu_3,0.010120763431358705
Cu_4,0.007368463814787031
Cu_5,0.012156705105728144
Cu_6,0.01746274832787908
Pb_1,-0.0012865101553002731
Pb_2,0.0007768924241583348
Pb_3,0.007178851159469087
Pb_4,0.014515635166642275
Pb_5,0.019446053737310908
Pb_6,0.027455979340378
