,-0.130814255954813,-0.11627933862650044,-0.10174442129818789,-0.08720950396987534,-0.07267458664156279,-0.058139669313250236,-0.043604751984937684,-0.029069834656625132,-0.01453491732831258,-2.7755575615628914e-17,0.014534917328312524,0.029069834656625076,0.04360475198493763,0.05813966931325018,0.07267458664156273,0.08720950396987528,0.10174442129818784,0.11627933862650039,0.13081425595481294,0.14534917328312547
thresh,-0.1380817146189693,0.1380817146189693,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,10,19,63,181,653,2615,743,156,49,15,9,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
