,nudG
Cr_1,-0.00015880456449837558
Cr_2,0.001434358880400375
Cr_3,0.0035517169923585923
Cr_4,0.009528436583109012
Cr_5,0.01309403819426508
Cr_6,0.014256937332235224
Fe_1,-0.0011127251484489304
Fe_2,-0.007774528850351524
Fe_3,-0.010754120224561644
Fe_4,-0.011800006829325776
Fe_5,-0.009565239389125329
Fe_6,-0.00409317805262811
Cd_1,5.575075004627232e-05
Cd_2,0.0005033004142346555
Cd_3,-0.00021643178548055072
Cd_4,0.0006098750457722581
Cd_5,-0.004738956045216985
Cd_6,-0.001519011773714015
Zn_1,0.0033242353888016485
Zn_2,0.008607173883467724
Zn_3,0.02364555726633004
Zn_4,0.0383084757808119
Zn_5,0.051571406151685865
Zn_6,0.06368880881374693
Cu_1,0.002575739343372768
Cu_2,0.006057416577467868
Cu_3,0.009129410702902241
Cu_4,0.011352871729557543
Cu_5,0.01756130247238101
Cu_6,0.02400426350768236
Pb_1,0.002589770365345543
Pb_2,0.006971418742491144
Pb_3,0.014705833236326647
Pb_4,0.02313589522237348
Pb_5,0.027790853624526667
Pb_6,0.041589240231573635
