,ybdR
Cr_1,-0.00018512413100487394
Cr_2,0.001102953224649341
Cr_3,0.002011943987050671
Cr_4,0.003909589003856099
Cr_5,0.005893604885117523
Cr_6,0.005733210457712803
Fe_1,-0.005852785257024976
Fe_2,-0.026214358003452874
Fe_3,-0.05145990824659135
Fe_4,-0.08161353906016408
Fe_5,-0.10286022696917722
Fe_6,-0.11584777348294087
Cd_1,-0.0009973682581023641
Cd_2,-0.0005232086120002286
Cd_3,-0.001738486733528325
Cd_4,-0.0008517356041299689
Cd_5,0.0003719737930962391
Cd_6,0.008257088352178588
Zn_1,-0.0016746895591268126
Zn_2,0.00023175950881059747
Zn_3,0.00963408756936582
Zn_4,0.029262340255945683
Zn_5,0.04779866475080905
Zn_6,0.06232483229438706
Cu_1,0.0014919620758949731
Cu_2,0.007806381960638583
Cu_3,0.012871102529400857
Cu_4,0.013687775669085042
Cu_5,0.01679363441456502
Cu_6,0.02255673295969654
Pb_1,0.0007861117945985334
Pb_2,0.0003014256580354245
Pb_3,0.0009448766515152197
Pb_4,0.0016294698797169153
Pb_5,-0.0016094561629756282
Pb_6,-0.004479611784059437
