,yhbC
Cr_1,-8.694680295928875e-06
Cr_2,0.0026460262370528896
Cr_3,0.003283526608439925
Cr_4,4.900530567881997e-05
Cr_5,-0.0044618711454807005
Cr_6,-0.010995262576577578
Fe_1,-0.005759028965101502
Fe_2,0.00584928059889537
Fe_3,0.03494815179048514
Fe_4,0.05312038501272428
Fe_5,0.07652067216684298
Fe_6,0.09217813723290562
Cd_1,0.0005690110780915214
Cd_2,0.003305007479370623
Cd_3,0.008499327771549756
Cd_4,0.014266958482790741
Cd_5,0.016872120583964426
Cd_6,0.023627719218269838
Zn_1,0.001120248264174773
Zn_2,0.020420870204067302
Zn_3,0.042484647240848106
Zn_4,0.054772047346623484
Zn_5,0.06487164145246234
Zn_6,0.06827329364173527
Cu_1,0.0032489439930266984
Cu_2,0.0053743471157982605
Cu_3,0.011252967564168938
Cu_4,0.012339734706118531
Cu_5,0.019610870442249382
Cu_6,0.022828995693810892
Pb_1,0.007056304013945076
Pb_2,0.011484444035289278
Pb_3,0.020591276502047725
Pb_4,0.023650028869620743
Pb_5,0.03467588133449203
Pb_6,0.04965639168696738
