,-0.08992782527026753,-0.05995188351351169,-0.029975941756755844,0.0,0.029975941756755844,0.059951883513511675,0.08992782527026753,0.11990376702702339,0.1498797087837792,0.17985565054053504,0.20983159229729087,0.23980753405404676,0.2697834758108026,0.2997594175675584,0.3297353593243143,0.35971130108107013,0.38968724283782596,0.41966318459458185,0.4496391263513376,0.4796150681080935
thresh,-0.10491579614864546,0.10491579614864546,8,,,,,,,,,,,,,,,,,
unreg,0,4,237,3058,216,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
H-NS,0,0,7,86,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,2,28,408,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarA,0,0,2,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS and Crp,0,0,7,50,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
H-NS and MarA,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and MarA,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LacI, H-NS, Crp, and MarA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],['yegX'],[],[],[],[],[],[],[],[],[],[],[],[]
H-NS_genes,[],[],['gspJ' 'adiY' 'gadW' 'gspM' 'fau' 'yjjQ' 'yciE'],"['evgA' 'asr' 'gspL' 'proW' 'hdfR' 'fliC' 'fimG' 'hisJ' 'gspA' 'garP'
 'hisM' 'hisQ' 'dps' 'cysA' 'cysM' 'nrdD' 'yhiM' 'degP' 'tcyJ' 'yciF'
 'adeD' 'rcsA' 'fimH' 'appY' 'gspO' 'fliZ' 'fimF' 'evgS' 'fimA' 'fimI'
 'hisP' 'cadA' 'cysW' 'adiA' 'ilvH' 'fliA' 'cadB' 'cspA' 'cydA' 'gspE'
 'ilvI' 'acrF' 'chiA' 'mdtI' 'rcsD' 'yciG' 'proX' 'gspK' 'mukB' 'garL'
 'leuO' 'bglJ' 'cadC' 'ftnA' 'cydB' 'ydeP' 'entF' 'stpA' 'fimC' 'cmoM'
 'cysU' 'proV' 'hchA' 'gspD' 'fimE' 'cysP' 'gspF' 'nrdG' 'nhaA' 'rcsB'
 'garR' 'hdeD' 'gspG' 'mukE' 'acrE' 'hns' 'fimD' 'fes' 'mukF' 'garK'
 'gspH' 'gspC' 'yjjP' 'ydeO' 'mdtJ' 'fepE']",['lrp' 'osmC' 'nhaR' 'ybdZ' 'bolA' 'gspB'],['fimB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
