,A,MarA,LacI,Crp,hns
R2,,0.04206127644982793,0.02521921668989313,0.020305701863615133,0.011761261821265245
xmin,,-3.9616957394,-3.0976986039,-9.852476477,-11.2828757996
xmid,,0.5867898416049722,0.15848803226979444,-2.7879895176342493,0.6429486430572249
xmax,,6.743759748,7.6084574233,2.5388323397,2.8974495703
ystart,,-0.06067106642323372,-0.11530045308491413,-1.0445844246743334,-0.13509713881109925
yend,,-2.686880822774082,-2.8124634944912983,0.6080163104371082,-1.6680469995170126
SRX1125282,0.0350761755,-0.006812383000000001,0.1465738218,0.0344951212,-0.0832222629
SRX1125283,-0.7340048476000001,-0.1590580577,-0.0328532438,0.1435731223,-0.0215977273
SRX1125284,-0.24881583300000001,-0.08452463560000001,0.0052832103000000005,0.2534372822,0.014475031800000001
SRX1125285,-0.8951393501,-0.3281762393,-0.2799391134,0.283920339,-0.069698208
SRX1125286,-0.7154732427,0.15808148400000002,0.3251303868,0.3175329239,-0.28960489710000004
SRX1125287,-1.1937530012,0.6488701604,0.4247782726,0.17602055360000002,-0.2321548066
SRX1125288,-0.6316628592,-0.19461449490000002,0.1807468991,0.005256366,-0.0482583698
SRX1125289,-0.20667879800000002,-0.1285404451,0.32014533,0.2819816342,-0.2218292502
SRX1125290,-0.3672530782,-0.1294872491,-0.0772841509,0.2801678667,-0.0773807522
SRX1125291,-0.9301286707,-0.2745053021,0.1780761619,0.4762089513,-0.0678102107
SRX1125292,-0.8184358757,-0.2829135836,0.4484247374,0.5370175003000001,-0.1422065635
SRX1125293,-0.098843572,0.1548882011,0.6063947701,0.5086233319,0.2490992528
SRX1125294,0.5965866836,0.2014268779,-0.32732072090000003,-0.039751487200000005,0.13148063270000002
SRX1125295,-0.3222672189,0.4845565926,0.1306327958,0.2905320638,0.2910135497
SRX1125296,-0.3662033632,0.1257374246,0.0840097035,0.1859933018,0.1734109775
SRX1125297,-0.7771081492,0.0792893026,-0.1772879896,0.3699621097,0.28443055370000003
SRX1125298,-1.1092273084,-0.075958759,0.2374507171,0.5483756585,0.0742654028
SRX1125299,-0.7687840671,0.46284071990000003,0.6655159291,0.50143841,0.23033813420000002
SRX5694250,0.7141662488,-0.7330415333,0.9138338013,-0.4516798918,-1.3295713452
SRX5694251,-3.1890744412,2.540166964,0.3515908481,-1.8893970692000002,0.6661338201
SRX5694252,-0.0798341805,-1.0704468478,0.9552527755,-0.1701238306,-1.732107911
SRX5694253,0.0302307276,-0.0275928083,-0.4586563349,0.1340371706,0.16751679260000002
SRX5694254,-0.6167934896,2.8259825051,0.39891063400000004,-0.8477189713000001,-0.3087090213
SRX5694255,-3.1507519539,0.6075015358,-1.9093907868,0.1307715067,-1.4290721084
SRX5694256,-0.5264626162,0.3780288764,-0.038534346500000004,-0.2340068764,-0.1462527268
SRX5694257,-1.3576644875000001,2.8911164329,0.7761610463,-0.33700626310000004,-0.641073463
SRX5694258,0.0474487056,0.13136358210000001,0.2293994325,-0.2857852433,-0.0725217448
SRX5694259,-2.9062721788,2.848829016,0.1703127401,-2.9247054987,0.4503702694
SRX5694260,0.7125433435,0.2295034282,-0.0075036221,0.0899715865,0.1739432252
SRX5694261,0.1041237552,-1.0327108808,1.3368807164,-1.6070723407,-0.6767263614
SRX5694262,-0.5528605442,-0.40778245690000003,0.1703560861,-0.5390842036,-1.031702481
SRX5694263,1.1398509988,0.7186888843,0.1631998516,-0.0980165268,0.14700628870000002
SRX5694264,-0.38252251540000004,0.9588990223,0.0711341122,0.2016373309,-0.41701238430000004
SRX5694265,1.3843994881000001,-0.7394753037,0.023037784800000002,-0.2490351859,-0.1614027818
SRX5694267,0.5344639223000001,0.13010346720000002,0.1819758095,0.0411821817,0.3006681781
SRX5694268,1.2387583473000001,-0.2461908334,0.5662234194,0.0231238538,-0.0815327794
SRX5694269,1.2330479017,0.058503909300000004,-0.0657338589,0.0476350313,0.0328928135
SRX5694271,0.5676908635,0.123839606,0.1553371163,0.24713669740000002,-0.10642851340000001
SRX5694273,-1.0913691223,2.0382558621,-0.3415901481,-1.5465123927,0.6464433037
SRX5694274,1.4389321176,-0.7239846981,-0.1626244594,0.2066153554,-0.0005954383
SRX5694275,1.7788272367,-0.49611786760000004,0.24691220390000002,-0.5157335737000001,-0.7840740106
SRX5694276,-1.7485860285000001,1.1198845636,-0.0319826391,-1.8223907651,0.7946358242
SRX5694277,0.4519941193,0.1968234872,0.7508654116,0.36042412560000003,-0.3573271824
SRX5694278,-1.3894658273,0.2847059357,-0.0543916828,-1.3002511837,1.536242647
SRX5694279,3.0940943954,0.6531216404,0.2117400039,0.3379205155,-0.206662584
SRX5694280,-1.751568184,0.17707995740000002,0.20523355740000002,-0.6834405493,0.48643795360000003
SRX5694281,3.5412931822,0.0950128226,0.6696554284,0.1656640608,-0.5867027299
SRX5694282,-1.0612391457,4.1967237298,0.1566548124,-0.9934080376000001,1.5495831874000001
SRX5694283,0.9646618948000001,-0.1704419522,0.0286882764,-0.3443110079,0.5062316505
SRX5694284,0.2832347177,0.3320383937,0.3634424634,-0.9407234058,0.2590986018
SRX5694285,2.1998900567,-0.5335320818,-0.2061662802,-0.0040549861000000005,0.0087843152
SRX5694286,1.2417566194,0.3572890023,-0.2705643494,-0.1478341465,-0.3992162387
SRX5694287,-0.4396864445,1.1375825754,0.7703527267,-0.1558928562,0.8313039999
SRX5694288,-0.5462900267,0.4032004564,-0.1834253821,0.2764607147,-0.45174707410000003
SRX5694289,-1.03529011,0.4280255911,-0.0885200408,-0.14661147630000002,0.46102281510000004
SRX5694290,-0.5717996365,0.9277862834,0.0879819057,0.2201400917,-0.39522827390000004
SRX5694291,-3.4544664651,0.4834436144,-1.6911750625000002,0.1874058842,-1.3338308134
SRX5694292,3.6759668046,0.3357229176,0.5440109249,0.0513472187,-0.43565160620000004
SRX5694293,0.9605728873,0.0508325872,0.1258937466,0.3866879371,0.038069885000000005
SRX5694294,-1.1064816152999999,-0.12419864280000001,-0.1810228445,-0.0602559214,-0.24636549170000002
SRX5694295,-0.6908608351000001,1.2423139035,1.2021066603000001,-1.4743546362,-1.4046597106
SRX5694296,0.1009648774,0.2018037158,0.3922054847,-0.13444608700000002,0.0952690145
SRX5694297,-3.6893719332,1.4952107841,0.712499216,-1.621907484,1.1708920348
SRX5694298,0.6340574606,0.6867220955000001,-0.6393714998000001,-0.0376343135,-0.15364917820000001
SRX5694299,0.5481995837,0.1973739836,-0.12903691080000002,-0.0810478849,-0.329062373
SRX5694300,0.2138684039,0.2646831744,-0.7450572754,0.1296583874,0.6446787887000001
SRX5694301,2.7444605476,-0.245652155,0.3910697394,0.2017965224,-0.499017776
SRX5694302,-0.011342016600000001,0.2750863127,0.2411573143,0.1490464558,-0.4983299264
SRX5694303,0.48328931940000003,0.36249123600000005,0.2430791799,0.2623448043,-0.9284528158
SRX5694304,-0.3254336204,0.2651607608,-0.0007055019000000001,-0.22631582460000002,0.4696265652
SRX5694305,-2.4664478082,2.4051835891,0.2539823094,-1.9945889461,0.8807592262
SRX5694306,-0.6518281098,-1.4955276921,0.5628862155000001,-0.303318389,-3.003918591
SRX5694307,-2.5658645065,4.8865571558,0.07980199090000001,-0.9213934478,2.0280958555
SRX5694308,0.3343970153,0.34056868230000004,0.086684762,-0.5542551321,0.1282549919
SRX5694309,-2.3164138841,1.45091096,-0.2429666986,-2.4371824129,1.4273784088
SRX5694310,0.5144249102,0.7345679111000001,0.08056013420000001,-0.6975730314,0.3338719368
SRX5694311,-2.4170492451,2.530974159,0.34333728750000003,-2.788252041,0.5479911068000001
SRX5694312,-1.5568821712,-1.0342815311,0.8986614184,-0.46271994780000003,-1.8298625141
SRX5694313,-0.5476389357,0.7495938296,0.7835091594,-1.0117169578,-1.2640210537
SRX5694315,0.0039654525,-0.1927712967,-0.616491416,-0.1729404675,-0.21223886720000001
SRX5694317,0.243616926,1.597312011,0.4628566798,0.2138522692,0.33937007880000003
SRX5694319,-0.9503508904,0.514183034,-0.19530177270000001,0.22403181360000002,-0.2648527613
SRX5694320,-2.9607805697,0.4974326597,-1.457215943,-0.09237995040000001,-1.6065648687
SRX5694321,-1.3017493902,1.3600735907,0.1027971843,-0.38942819040000004,0.7920205793
SRX5694322,-2.7427136091,1.4085650238,1.0099667571,-1.1362642293,1.4962296247
SRX5694323,-1.147816559,1.4134331884,0.26218360620000003,-0.41342659340000004,0.8860898538
SRX5694324,-2.9679262764,2.6357924198,0.3765862593,-1.6036324816,1.1582991603
SRX5694325,0.279898729,1.3142201141,-0.0983224656,-0.5104274184,1.0332693507
SRX5694326,-0.15940632370000002,0.030409181,0.1949978118,-0.1584196907,-0.5443186423
SRX5694327,1.0899695596,0.5215810031,0.5293013885,-0.6589226995,0.2748227025
SRX5694328,0.1411705473,0.43182293590000004,0.025512247000000002,0.1764471632,-0.4196697263
SRX5694329,-0.784194037,0.9090942609,0.44822317240000004,-0.5799739837,0.8093676863
SRX5694330,-0.0059268623,-1.7818584641,2.0713527426,-0.6950204566,-2.2776908039
SRX5694331,0.7735018999000001,0.47099929170000004,-0.0468085987,0.245553549,0.0793713315
SRX5694332,-0.9722059413,0.9124325542,0.47209344820000004,-0.24882076420000002,0.1558267021
SRX5694334,-0.3571164585,-0.1584076252,0.7997147124,-1.0972302127,-0.16419339230000002
SRX5694335,-1.1312924774,1.4936501342000001,0.6802062858,-2.0210704043,0.3623619817
SRX5694336,-2.7401658308,0.22689700980000002,-0.8221780503,-1.6584843203,2.0592240575
SRX5694337,0.0485346171,0.6412401592,-0.0695608518,-0.2397944182,0.37091103740000003
SRX5694338,2.6721260929,0.007236593,0.1197896553,0.1989831632,-0.6577122203
SRX5694339,-0.47765672400000003,0.300449713,-0.3450334444,0.10670366340000001,-0.5185215767
SRX5694340,-1.3426269104,-0.4315380239,0.1861002394,-0.1227589166,-1.0589715228
SRX5694341,-3.6999355643,3.8119366157,0.811762188,-1.4531793695,1.8291972353000001
SRX5694342,-2.9075471875,0.8717007803,0.8694987287,-1.642695013,1.2003956974
SRX5694343,-0.5984404808,1.1982177093,0.8040613176,-0.659556922,-0.08934273300000001
SRX5694344,0.218782565,0.7749282921,0.5311358088,-0.5482364304,0.6142965370000001
SRX5694345,1.0825940958,0.0034858650000000003,-0.0371541338,-0.1455592358,0.260286065
SRX5694346,-0.5241724204,0.9858351493,0.2851065997,-0.6506498564000001,0.16706967650000001
SRX5694347,-0.1714468137,0.0665871225,-0.1962981144,-0.0665078507,0.1257857565
SRX5694348,-0.045281636800000004,1.1477337822,0.4857208422,0.0163008612,-0.7342629081000001
SRX5694349,2.9334755384,-0.3461513992,-0.5409803158000001,0.3281616036,-1.0978060964
SRX5694350,-0.43570784300000004,1.2466240868,0.0873096268,-1.3897674496999999,-0.2585618173
SRX5694351,-0.9366646974,3.3987190373000002,-0.6110205204,-0.94657928,1.1449067451000001
SRX5694352,1.9729873543,0.5471766611000001,-0.0297746296,-0.11358356480000001,-0.10031158700000001
SRX5694353,-0.42488377260000004,0.5505382713,0.14169397120000002,0.2090437913,-0.7813179918000001
SRX5694354,1.1649406894,0.1429190504,-0.36149135660000004,0.156288703,-0.3833516295
SRX5694356,-0.3097267435,0.6584495509,0.1304797786,0.1914919696,-0.9761935114
SRX5694357,-4.4057523792,0.677454079,0.7600260109,-1.6521756011000002,0.8141585597000001
SRX5694358,-0.9543053441,1.4492759168,-0.9022934381000001,-0.2527058608,-1.210879706
SRX5694359,1.3847160261,0.508759961,-0.020137201900000002,-0.30657057660000003,-0.4207264389
SRX5694360,0.0193641755,0.12470963880000001,-0.024012239,-0.2669976047,-0.1412390832
SRX5694361,-4.1826854008,-0.5084285654,1.4166762394,-1.0307723459,0.1566361058
SRX5694362,0.8797873892,-2.6239813533,0.605882118,-0.0309958632,-1.6472988531000001
SRX5694363,-0.9711604556000001,2.6486440663,0.8306692714,-0.3804310446,-0.5546784583000001
SRX5694364,-0.6128015869,1.2655193957,0.3764035993,-2.3462003852,1.4076440849
SRX5694365,-2.1640722413,2.3875252033,-0.6295563065,-0.6041545277,-0.4974307236
SRX5694366,-1.27927095,0.7939047679,0.042605648,-0.054980210200000004,-0.6138928318
SRX5694367,-0.2396559808,1.7230228513,0.0745465719,-0.7076949831,1.2101434685
