,yhjB
Cr_1,0.0013023544541847225
Cr_2,0.006118329863550773
Cr_3,0.012404801662526293
Cr_4,0.0024589048612956425
Cr_5,-0.0004818090199668547
Cr_6,0.006108430953034596
Fe_1,-0.007677748001368396
Fe_2,-0.014233739452148347
Fe_3,-0.04838837773499589
Fe_4,-0.06526497918465493
Fe_5,-0.10381240381943237
Fe_6,-0.11678999427710028
Cd_1,0.009478606672124015
Cd_2,0.02451370213922038
Cd_3,0.03893180532035506
Cd_4,0.047717909608520036
Cd_5,0.05459784863737382
Cd_6,0.06247875503120756
Zn_1,-0.012806370756089884
Zn_2,-0.02565350511682336
Zn_3,-0.03293950927731293
Zn_4,-0.03457150747737734
Zn_5,-0.033854921166555536
Zn_6,-0.03707251967149303
Cu_1,0.009633557107099105
Cu_2,0.025700005681738983
Cu_3,0.040959081440241435
Cu_4,0.05255033071198003
Cu_5,0.06111001557294185
Cu_6,0.07486101177017845
Pb_1,0.0029028057062341146
Pb_2,0.009037150199127654
Pb_3,0.013604684423944769
Pb_4,0.026367611539328786
Pb_5,0.04406089532212597
Pb_6,0.05676905668972981
