,yeaM
Cr_1,0.005208261734242776
Cr_2,0.006709155756683284
Cr_3,0.012148258945533166
Cr_4,0.011709267568896946
Cr_5,0.01806198058897477
Cr_6,0.01975462268407133
Fe_1,-0.021803724160421308
Fe_2,-0.0548298941568597
Fe_3,-0.09184951274744203
Fe_4,-0.13681945935035578
Fe_5,-0.17456276028090792
Fe_6,-0.20541973221010107
Cd_1,0.002439549698958322
Cd_2,0.00910905480995678
Cd_3,0.010242558761168474
Cd_4,0.008670146356424125
Cd_5,0.0075917259611481
Cd_6,0.010493788521046477
Zn_1,-0.016249199855045034
Zn_2,-0.0267993025680409
Zn_3,-0.017676302732137848
Zn_4,-0.0021713780373309307
Zn_5,-0.002681056122591975
Zn_6,-0.001809631402927548
Cu_1,0.01264492574872077
Cu_2,0.025372002972698444
Cu_3,0.024274747345782124
Cu_4,0.024267209753493592
Cu_5,0.027343542939640968
Cu_6,0.03007832194984496
Pb_1,0.004216199769702909
Pb_2,0.011037621149720074
Pb_3,0.016390584020216883
Pb_4,0.03150095586747507
Pb_5,0.044828998356608536
Pb_6,0.05912788428751847
