,pflA
Cr_1,-0.008122229616478814
Cr_2,-0.01989126184503611
Cr_3,-0.0207149681940233
Cr_4,-0.018984438165484643
Cr_5,-0.009818596861353591
Cr_6,-0.008157560938226893
Fe_1,-0.014353625342109622
Fe_2,-0.0324887709291329
Fe_3,-0.047545739899094365
Fe_4,-0.0713170800694221
Fe_5,-0.10168767870468888
Fe_6,-0.1261900609737831
Cd_1,0.0018916190084043926
Cd_2,-0.008202803805423181
Cd_3,-0.0019254705441632965
Cd_4,0.002187935781300264
Cd_5,0.002341074077083068
Cd_6,0.00658467398380063
Zn_1,-0.014839862934969831
Zn_2,-0.02015312840942979
Zn_3,-0.017262197247511976
Zn_4,-0.00353969267951488
Zn_5,0.001545723498498765
Zn_6,-0.003109769416408884
Cu_1,0.011844106694500171
Cu_2,0.022410466658988524
Cu_3,0.030375713290369557
Cu_4,0.03489212162262883
Cu_5,0.037866749411578325
Cu_6,0.03998101892809682
Pb_1,0.0022920183475734607
Pb_2,0.010431067170512662
Pb_3,0.018961839454033874
Pb_4,0.020889886702470342
Pb_5,0.03271764785779927
Pb_6,0.04685186616031936
