,rumA
Cr_1,0.003124646450553765
Cr_2,0.006913757131651229
Cr_3,0.010796504061889927
Cr_4,0.014037794255281368
Cr_5,0.015117833178454828
Cr_6,0.013831235575624474
Fe_1,-0.0005320134227659527
Fe_2,-0.019020455713499168
Fe_3,-0.04503948085850236
Fe_4,-0.07567609707548707
Fe_5,-0.10148366608611152
Fe_6,-0.12438652530784215
Cd_1,0.0016235717247782113
Cd_2,0.0059193845729972935
Cd_3,0.009249386984232328
Cd_4,0.011566385662815213
Cd_5,0.008809742019387078
Cd_6,0.012141975231142388
Zn_1,0.0024753246395467173
Zn_2,-0.00026115869660497547
Zn_3,0.003514360142609526
Zn_4,0.015468110766759344
Zn_5,0.03544736267446792
Zn_6,0.05059067729957655
Cu_1,0.002892737623615163
Cu_2,0.009295417634545387
Cu_3,0.01003672746108759
Cu_4,0.016157091675185774
Cu_5,0.018810884261285583
Cu_6,0.021555553028837632
Pb_1,0.00674714756851626
Pb_2,0.01682577626119068
Pb_3,0.02765313436921404
Pb_4,0.03741907230167302
Pb_5,0.05045998740939347
Pb_6,0.06111471397363692
