,rrlA
Cr_1,-0.009721054381836892
Cr_2,-0.00843303184010567
Cr_3,0.0018636693344394962
Cr_4,0.01751153628427055
Cr_5,0.03954075052557477
Cr_6,0.04564384851877328
Fe_1,-0.018310976603824424
Fe_2,-0.04571899940579218
Fe_3,-0.04852213159081759
Fe_4,-0.039485935337547004
Fe_5,-0.024427618898094174
Fe_6,-0.019457676215913197
Cd_1,0.003842573611056364
Cd_2,0.0034795524810201663
Cd_3,0.007544932497547696
Cd_4,0.012881531666776531
Cd_5,0.011574877229410451
Cd_6,0.01835605800354016
Zn_1,0.004882318860726644
Zn_2,0.020450700802962046
Zn_3,0.03196850306384238
Zn_4,0.05279075273260927
Zn_5,0.05829432136798534
Zn_6,0.08032942603983903
Cu_1,0.0026061834336430557
Cu_2,0.00039233701562806534
Cu_3,0.006641312830567153
Cu_4,0.006352232837936356
Cu_5,0.008475073476482402
Cu_6,0.01926072731223809
Pb_1,0.009558226252863724
Pb_2,0.01130544257045716
Pb_3,0.013995422885651941
Pb_4,0.02394575556714257
Pb_5,0.033136776692218955
Pb_6,0.03338089327385802
