,A,SigS
R2,,0.6251572389872516
xmin,,0.0
xmid,,
xmax,,5.3767589268
ystart,,-17.66385917280173
yend,,19.37268818473398
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,-0.8820750620000001,3.3110973178
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.09494368700000001,3.4280113317
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-2.304368584,2.353415811
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-0.8064360030000001,3.0147123072
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,3.101988293,2.3997352144
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,-1.125042532,3.0866999763
USA300_LAC_U01-Set001_CAMHB_Control_2,0.09494368700000001,1.9925855232
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-0.902903737,2.8638404441
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-0.430622602,2.755770713
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,3.730849596,3.4906827918
USA300_TCH1516_U01-Set000_CAMHB_Control_1,3.7358427560000003,2.5336154283
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,-15.24399252,1.2798825044
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-9.051973372,1.1791833323
USA300_LAC_U01-Set001_R10LB_PreCulture_1,4.83110186,3.6909302707
USA300_LAC_U01-Set001_R10LB_PreCulture_2,5.597048797,3.3533816999
USA300_LAC_U01-Set001_R10LB_Control_1,9.277542698,3.7241725933
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,6.027669956,3.3714112843
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,8.974173388,4.0433313992
USA300_LAC_U01-Set001_R10LB_Control_2,-2.32392205,3.4413760209
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,7.738468039,3.8074915673
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,7.406072024,3.4561004084
USA300_TCH1516_U01-Set000_R10LB_Control_1,-0.45908356600000005,3.6163752967000002
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,3.190925802,2.7385147080000003
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,2.6685010570000003,3.2072062231
USA300_TCH1516_U01-Set000_R10LB_Control_2,-1.1915764420000001,2.8208230105
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,4.011554513,3.6570016356
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,5.835353202,2.9256106303
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-11.6710438,1.2093065541
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-10.38439959,1.6335069499000001
USA300_TCH1516_U01-Set000_CAMHB_Control_2,-3.7358427560000003,2.2573129155
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,-6.8580131600000005,1.3558628956
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,-10.2024889,1.2826849175000001
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-5.670313552,1.0294776592
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-3.927902083,1.7247817002999999
USA300_LAC_U01-Set004_CAMHB_Control_1,16.45076657,4.7840408886
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,16.42446516,4.775901016
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,15.31472374,4.5972806784
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,15.22077824,5.0667600177
USA300_LAC_U01-Set004_CAMHB_Control_2,18.16867425,4.0366246565
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,16.53499808,4.4225943546
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,17.32203475,5.0169386069
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,13.8892284,4.2023994443
USA300_LAC_U01-Set004_R10LB_Control_1,17.8129528,5.3767589268
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,18.67135796,4.9392744176
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,16.59276153,4.9493742454
USA300_LAC_U01-Set004_R10LB_Control_2,16.48883872,5.3630066564
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,17.04737098,5.1625998034
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,16.54621118,4.7991338122
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-7.591985846,0.5226009053
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-2.318002712,2.9438868456
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,-7.241374291,2.7545933633
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,-9.901409352,2.8747017008
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-12.78830402,2.0671137139
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-12.16318226,2.3913524466
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,-10.09825542,2.3841002781
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,-4.694678891,2.539334708
USA300_LAC_ICA-Set001_R10LB_Control_1,15.34609785,3.9158634168
USA300_LAC_ICA-Set001_R10LB_Control_2,14.80501099,4.3796829281
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,15.19626827,4.6112681119
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,15.97639582,4.2118744757
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,14.88931576,2.4989424179
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,13.869896690000001,2.9215558345
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,15.58613358,4.6845625424
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,10.30900839,4.1261148488
USA300_TCH1516_BK-Set001_THB_Control_1,-27.70709044,0.0
USA300_TCH1516_BK-Set001_THB_Control_2,-28.78666878,0.5404685814
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-10.78588413,2.6304017986
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-28.06423252,1.1002056006
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,-24.39832326,1.4532295013
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-27.31756677,1.8635420751
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-28.23828246,0.47447318180000003
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,-31.89343526,0.0
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,2.982677695,2.1964201128
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-0.819740428,2.577666833
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,6.795252229,2.6882998284
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,6.970901863,2.2261748871
USA300_LAC_ICA-Set002_CAMHB_Control_1,8.660681259,2.5642101357
USA300_LAC_ICA-Set002_CAMHB_Control_2,-7.231876913,1.4636893212
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,5.373650997,3.0139033604
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,6.199361087,3.4378545413
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,5.985239003,2.2165246537
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,6.691167153,3.1149533104
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,1.535004059,2.4083441097
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,-0.749044245,2.5512950004
USA300_SNFM1_ICA-Set002_R10LB_Control_1,7.700347317,3.5283844292
USA300_SNFM1_ICA-Set002_R10LB_Control_2,4.810960527,3.3594513672
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,-5.647370158,1.9451008212
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,1.566030648,2.1694479953
USA300_SNFR19_ICA-Set002_R10LB_Control_1,8.36269763,2.7210483211
USA300_SNFR19_ICA-Set002_R10LB_Control_2,10.18049459,2.0595559116
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,3.320315286,1.655006749
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,-3.320315286,1.800558059
USA300_TCH1516_ICA-Set002_R10LB_Control_1,3.89535972,4.0225529718
USA300_TCH1516_ICA-Set002_R10LB_Control_2,-8.012624098,2.4135621004
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,2.160867017,1.9962847201
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,-3.911768575,1.4427625616
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,-2.198200117,2.0188345291
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,-5.291991942,1.6816919899
USA300_TCH1516_ICA-Set003_250nMParaquat_1,0.38656773600000005,0.44397020670000004
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-4.398148931,0.8637271486
USA300_TCH1516_ICA-Set003_2gLGalactose_1,-8.082489699,0.6515794409
USA300_TCH1516_ICA-Set003_2gLGalactose_2,-5.196126882,0.9385989284
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,-0.19013982000000001,0.5134332121
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,-4.089924042,1.0201107966
USA300_TCH1516_ICA-Set003_Control_1,4.827024422,1.6024443274
USA300_TCH1516_ICA-Set003_Control_2,3.92606869,1.0726837453
USA300_TCH1516_ICA-Set003_StationaryPhase_1,-6.266102276,0.9253011422
USA300_TCH1516_ICA-Set003_StationaryPhase_2,-12.44001068,0.9878147942000001
