,Value,list
TF,SigS,
reg_genes,0,[]
comp_genes,137,"['USA300HOU_RS11345' 'USA300HOU_RS15380' 'ureB' 'USA300HOU_RS12995'
 'USA300HOU_RS13395' 'USA300HOU_RS06915' 'USA300HOU_RS06630'
 'USA300HOU_RS03265' 'USA300HOU_RS12415' 'USA300HOU_RS09605'
 'USA300HOU_RS11200' 'USA300HOU_RS12890' 'USA300HOU_RS12490'
 'USA300HOU_RS03175' 'USA300HOU_RS01580' 'USA300HOU_RS09730'
 'USA300HOU_RS00335' 'USA300HOU_RS12570' 'USA300HOU_RS15315'
 'USA300HOU_RS05170' 'dgK' 'USA300HOU_RS09600' 'USA300HOU_RS10815'
 'USA300HOU_RS09895' 'USA300HOU_RS00655' 'USA300HOU_RS06695' 'LAC_H_01013'
 'comgF' 'USA300HOU_RS06505' 'USA300HOU_RS05115' 'USA300HOU_RS15055'
 'USA300HOU_RS03830' 'USA300HOU_RS04545' 'USA300HOU_RS03725'
 'USA300HOU_RS00315' 'USA300HOU_RS15395' 'USA300HOU_RS10840'
 'USA300HOU_RS15100' 'USA300HOU_RS12445' 'USA300HOU_RS00260'
 'USA300HOU_RS10480' 'USA300HOU_RS10845' 'USA300HOU_RS14020'
 'USA300HOU_RS11605' 'USA300HOU_RS10755' 'mnhe2' 'USA300HOU_RS15430'
 'sigS' 'USA300HOU_RS13935' 'USA300HOU_RS03150' 'USA300HOU_RS00330'
 'USA300HOU_RS08530' 'USA300HOU_RS13695' 'USA300HOU_RS03125' 'ytzB'
 'USA300HOU_RS01470' 'USA300HOU_RS04855' 'USA300HOU_RS14670' 'coabC'
 'USA300HOU_RS11590' 'USA300HOU_RS14135' 'USA300HOU_RS01540'
 'USA300HOU_RS03160' 'USA300HOU_RS01125' 'USA300HOU_RS05165'
 'USA300HOU_RS11740' 'USA300HOU_RS00485' 'csbA' 'USA300HOU_RS07425' 'ydiL'
 'sarX' 'USA300HOU_RS06640' 'USA300HOU_RS13170' 'USA300HOU_RS05790'
 'USA300HOU_RS10255' 'USA300HOU_RS13410' 'USA300HOU_RS10235' 'cvpA' 'smpC'
 'USA300HOU_RS08670' 'rpmH' 'USA300HOU_RS08960' 'USA300HOU_RS01280' 'icaR'
 'USA300HOU_RS05130' 'yvfR' 'ilvN' 'USA300HOU_RS15160' 'sigS'
 'USA300HOU_RS06670' 'USA300HOU_RS10715' 'USA300HOU_RS09830'
 'USA300HOU_RS01555' 'USA300HOU_RS12765' 'USA300HOU_RS01425'
 'USA300HOU_RS13835' 'USA300HOU_RS09565' 'USA300HOU_RS10150' 'zitR'
 'USA300HOU_RS04320' 'ypbD' 'USA300HOU_RS03130' 'USA300HOU_RS06605'
 'USA300HOU_RS12245' 'USA300HOU_RS13510' 'cadX' 'USA300HOU_RS09445'
 'USA300HOU_RS01545' 'USA300HOU_RS04330' 'USA300HOU_RS15070'
 'USA300HOU_RS03165' 'USA300HOU_RS05530' 'sarA' 'USA300HOU_RS04400'
 'USA300HOU_RS10370' 'ykrP' 'USA300HOU_RS05145' 'copY' 'USA300HOU_RS03745'
 'USA300HOU_RS08180' 'USA300HOU_RS00270' 'yggT' 'USA300HOU_RS12185'
 'USA300HOU_RS05580' 'USA300HOU_RS03295' 'icaC' 'USA300HOU_RS00215'
 'USA300HOU_RS03140' 'USA300HOU_RS02090' 'USA300HOU_RS10490'
 'USA300HOU_RS10505' 'dgkA' 'USA300HOU_RS09460' 'USA300HOU_RS06680'
 'USA300HOU_RS10855' 'USA300HOU_RS04240' 'ylxM']"
both_genes,0,[]
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,0,
comp_ops,35,
both_ops,0,
