,ybfD
Cr_1,0.0038114197889705264
Cr_2,0.009026605866405694
Cr_3,0.017652557007513482
Cr_4,0.02419316249697704
Cr_5,0.02692653742924405
Cr_6,0.03013900226372825
Fe_1,-0.01304923443810134
Fe_2,-0.02746307241725748
Fe_3,-0.0469375670040258
Fe_4,-0.06432244993155062
Fe_5,-0.07830247226730118
Fe_6,-0.08849439713848127
Cd_1,0.0024011396993349732
Cd_2,0.0043266020822349495
Cd_3,0.008253930607999288
Cd_4,0.009666615902449922
Cd_5,0.00730953654831256
Cd_6,0.008841077886789669
Zn_1,-0.010078720240773623
Zn_2,-0.022964210909302788
Zn_3,-0.028198950287748888
Zn_4,-0.028463940260500486
Zn_5,-0.028370721345671625
Zn_6,-0.029457986134086424
Cu_1,0.004275576940023014
Cu_2,0.012341543605086016
Cu_3,0.02105158855606832
Cu_4,0.026370405345926516
Cu_5,0.027064870471821045
Cu_6,0.026728354472974745
Pb_1,0.007871029220264086
Pb_2,0.006739737832764789
Pb_3,0.01360964873580454
Pb_4,0.020298155654053303
Pb_5,0.0244166632983958
Pb_6,0.0260294758723526
