,osmC
Cr_1,0.004699817100301827
Cr_2,0.01244479410839782
Cr_3,0.02025900641904454
Cr_4,0.030694898944145094
Cr_5,0.040346678266915
Cr_6,0.05011667489395196
Fe_1,0.011929149121663315
Fe_2,-0.006497863798915582
Fe_3,-0.03687982381050547
Fe_4,-0.08960491552828921
Fe_5,-0.1535862550311204
Fe_6,-0.22244050976405014
Cd_1,0.0023855626065697345
Cd_2,0.007944413067907333
Cd_3,0.004495554199992567
Cd_4,0.003921037943465397
Cd_5,-0.0007630481501724285
Cd_6,0.00026514595049426034
Zn_1,-0.007620696661998909
Zn_2,-0.016735494516018364
Zn_3,-0.027937898348336685
Zn_4,-0.03596337107901107
Zn_5,-0.03398010761768614
Zn_6,-0.03781623167736412
Cu_1,0.005590354033256794
Cu_2,0.01683354986230489
Cu_3,0.021528595370150762
Cu_4,0.025096544332325943
Cu_5,0.028505346064576706
Cu_6,0.024822666225162646
Pb_1,0.006998576224742912
Pb_2,0.01758781234157222
Pb_3,0.023737964392371143
Pb_4,0.030271715375355494
Pb_5,0.04168163096982476
Pb_6,0.04863377009633248
