,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,-3.33333360913457e-11,0.7669840574582631,3.0,0.0,0.4461654318,2.0,0.4394630183,4.0,-0.8856284502,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,3.866414238133333,0.6366085924658238,3.0,1.0,3.1801074029,3.0,3.9815156969,5.0,4.4376196146,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-9.837820914349999,1.2630229323377087,4.0,6.0,-8.3991873187,20.0,-9.7706811232,40.0,-9.7024988309,63.0,-11.4789163846,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-10.664778295425002,0.36996333310043394,4.0,7.0,-11.0009047358,33.0,-10.140642093,81.0,-10.8099936519,82.0,-10.707572701,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-11.907929452325,1.7848920161880304,4.0,8.0,-13.1901106663,51.0,-9.9050262567,65.0,-10.9188111798,76.0,-13.6177697065,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-12.6636144224,1.5238346100131261,3.0,9.0,-13.5367991312,22.0,-13.5499858872,49.0,-10.9040582488,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-8.24753777525,0.18898097629012278,2.0,10.0,-8.3811675051,26.0,-8.1139080454,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-11.0531838288,0.12684133512401655,3.0,11.0,-11.0334822722,54.0,-11.1887231539,83.0,-10.9373460603,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-12.499666951625,1.1606144185657377,4.0,12.0,-13.505231723,48.0,-11.0995717975,64.0,-11.9927221515,78.0,-13.4011421345,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-7.645617428025,1.7249060375781504,4.0,13.0,-8.4938927683,38.0,-8.543479051,67.0,-5.0585362829,72.0,-8.4865616099,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,-10.428014279766666,0.17537932280383525,3.0,14.0,-10.6303594773,41.0,-10.3197548874,85.0,-10.3339284746,,,,,,,,,,,,,,,,,,,,,,
