,-0.067176903625,-0.05684199537500001,-0.04650708712500001,-0.036172178875000016,-0.02583727062500002,-0.015502362375000023,-0.005167454125000026,0.005167454124999971,0.015502362374999967,0.025837270624999964,0.03617217887499996,0.04650708712499996,0.056841995374999954,0.06717690362499995,0.07751181187499995,0.08784672012499994,0.09818162837499994,0.10851653662499994,0.11885144487499993,0.12918635312499993
thresh,-0.03100472475,0.03100472475,1,,,,,,,,,,,,,,,,,
unreg,1,0,3,4,33,359,3253,1904,175,45,25,10,7,11,19,38,18,1,0,0
unreg_genes,['PSPTO_0097'],[],['lysA' 'iucD' 'PSPTO_0210'],['PSPTO_5511' 'PSPTO_2690' 'iscS-1' 'oadA'],[],[],[],[],[],[],"['PSPTO_1697' 'PSPTO_0011' 'PSPTO_5633' 'galM' 'PSPTO_4203' 'PSPTO_0867'
 'hemW' 'PSPTO_2729' 'hrpS' 'PSPTO_2637' 'PSPTOA0012' 'PSPTO_2131'
 'PSPTO_3770' 'rmf' 'PSPTO_3772' 'PSPTO_RS14450' 'PSPTO_3000' 'hrpR'
 'PSPTO_5053' 'PSPTO_3223' 'PSPTO_3892' 'PSPTO_RS14445' 'PSPTO_5240'
 'PSPTO_RS00055' 'PSPTO_RS29090']","['PSPTO_4699' 'PSPTO_RS04450' 'hopAO1' 'PSPTO_RS24330' 'PSPTO_RS24465'
 'PSPTO_2129' 'PSPTO_4333' 'hrpV' 'PSPTO_4334' 'hopAD1']","['PSPTO_2128' 'PSPTO_0851' 'PSPTO_5355' 'PSPTO_0524' 'hopV1' 'avrE1'
 'hopAA1-2']","['PSPTOA0017' 'corS' 'PSPTOA0018' 'PSPTOA0019' 'hopR1' 'PSPTO_4733' 'corR'
 'PSPTO_2130' 'shcV' 'hopU1' 'hrpT']","['shcE' 'PSPTO_RS04765' 'PSPTO_0871' 'plcA2' 'hopAA1-1' 'hopB1' 'hopAK1'
 'hrcQa' 'hopD1' 'hopA1' 'PSPTO_2105' 'sctU' 'sctT' 'PSPTO_RS22455'
 'hrpA1' 'avrPto1' 'PSPTO_0370' 'hopF2' 'hrpK1']","['PSPTO_0838' 'PSPTO_1409' 'shcF' 'hrpD' 'hopM1' 'hrpF' 'PSPTO_RS09680'
 'PSPTO_0873' 'hopAJ1' 'hopQ1-1' 'shcA' 'hopI1' 'hopAQ1' 'hrpP' 'hrcN'
 'PSPTOA0005' 'hopP1' 'iaaL' 'PSPTO_RS29830' 'shcS2' 'hrcQb' 'hopE1'
 'hopY1' 'sctC' 'hrpO' 'shcM' 'PSPTO_RS23745' 'hopAM1-1' 'sctJ' 'hrpG'
 'PSPTO_RS04625' 'PSPTO_0837' 'sctW' 'sctD' 'hrpZ1' 'shcN' 'hopN1' 'hopG1']","['sctL' 'PSPTO_0834' 'PSPTO_0874' 'PSPTO_0875' 'hrpH' 'sctI' 'hrpW1'
 'hopAB2' 'PSPTO_0836' 'sctV' 'sctR' 'PSPTO_0835' 'hopH1' 'PSPTO_RS08210'
 'sctS' 'shcS1' 'hopS1' 'hopC1']",['hrpL'],[],[]
