,BSU32920
M9exp_1,8.7058
M9exp_2,8.4327
M9exp_3,8.2396
M9tran_1,8.3899
M9tran_2,8.4716
M9tran_3,8.5533
M9stat_1,8.4023
M9stat_2,8.4422
M9stat_3,8.1462
MG-0.1_1,8.6713
MG-0.1_2,7.8998
MG-0.1_3,9.0348
MG-0.2_2,8.4289
MG-0.2_3,8.7579
MG+5_1,8.6263
MG+5_2,8.3407
MG+5_3,8.6225
MG+10_1,8.8668
MG+10_2,8.4541
MG+10_3,8.2499
MG+15_1,8.3056
MG+15_2,8.8513
MG+15_3,8.655
MG+25_1,8.6815
MG+25_2,8.2733
MG+25_3,8.6561
MG+45_1,8.4387
MG+45_2,8.2762
MG+45_3,9.0416
MG+60_2,8.6226
MG+60_3,8.557
MG+90_2,8.2102
MG+90_3,8.66
MG+120_1,8.5579
MG+120_2,8.6523
MG+120_3,8.3473
MG+150_1,8.4171
MG+150_3,8.6207
GM-0.1_1,8.6395
GM-0.1_2,8.9022
GM-0.1_3,8.8365
GM-0.2_1,8.8096
GM-0.2_2,8.6278
GM-0.2_3,8.6247
GM+5_1,8.3743
GM+5_2,8.675
GM+5_3,8.8816
GM+10_2,8.5787
GM+10_3,8.0482
GM+15_1,8.6871
GM+15_2,8.6805
GM+15_3,8.6397
GM+25_1,8.8355
GM+25_2,8.5238
GM+25_3,8.4269
GM+45_1,8.8298
GM+45_2,8.0022
GM+45_3,8.7607
GM+60_1,8.634
GM+60_2,8.1169
GM+60_3,8.146
GM+90_1,8.799
GM+90_2,9.0695
GM+90_3,8.2384
GM+120_1,8.6759
GM+120_3,8.9562
GM+150_1,8.5841
GM+150_2,8.1419
GM+150_3,8.2844
BT_1,8.4849
BT_2,8.0406
B36_1,8.5651
B36_2,8.6569
B60_1,8.4488
B60_2,8.6139
S0_1,8.6034
S0_2,8.3017
S0_3,8.5384
S1_1,8.6389
S1_2,8.4854
S1_3,8.4228
S2_1,8.7406
S2_2,8.5181
S2_3,8.49
S3_1,9.1511
S3_2,9.0075
S4_1,9.1822
S4_2,9.0562
S4_3,8.9289
S5_1,9.4217
S5_2,9.8591
S5_3,9.6984
S6_1,9.5218
S6_2,10.168
S6_3,9.4284
S6/t_1,9.3926
S6/t_2,9.9154
S6_4,9.3461
S6_5,9.6832
S6_6,9.8132
S7_4,9.8382
S7_5,9.7641
S7_6,9.8653
S8_4,9.4231
S8_5,9.6544
G135_1,8.8748
G135_3,8.0346
G150_1,8.6662
G150_2,8.8277
G150_3,8.9267
G180_1,8.7609
G180_2,8.9493
G180_3,8.2626
T-5.40H_1,8.8781
T-4.40H_1,8.8547
T-3.40H_1,8.7525
T-2.40H_1,8.5611
T-1.40H_1,8.7375
T-1.10H_1,9.1374
T-0.40H_1,9.0562
T0.0H_1,8.955
T0.30H_1,9.1266
T1.0H_1,8.5075
T1.30H_1,8.6194
T2.0H_1,8.6678
T2.30H_1,9.0344
T3.0H_1,8.7312
T3.30H_1,9.1268
T4.0H_1,9.2123
T5.0H_1,8.7941
LBexp_1,8.9286
LBexp_2,8.8248
LBexp_3,8.5677
LBtran_1,9.9044
LBtran_2,9.23
LBtran_3,9.1866
LBstat_1,8.8347
LBstat_2,8.747
LBstat_3,8.631
LBGexp_1,8.8192
LBGexp_2,9.1422
LBGexp_3,8.8874
LBGtran_2,8.7492
LBGtran_3,9.5349
LBGstat_1,8.1369
LBGstat_2,8.0622
LBGstat_3,8.7443
Mt0_1,9.1389
Mt0_3,9.2065
M0t45_1,9.5642
M0t45_2,8.8511
M0t45_3,9.3936
M0t90_1,8.4022
M0t90_2,9.0417
M0t90_3,8.8426
M40t45_1,9.1709
M40t45_2,10.1296
M40t45_3,9.529
M40t90_1,8.6692
M40t90_2,9.157
M40t90_3,9.2336
dia0_1,8.7152
dia0_2,8.7046
dia0_3,8.7014
dia5_1,10.0134
dia5_2,10.0582
dia5_3,9.8919
dia15_1,9.9923
dia15_2,10.1836
dia15_3,9.825
C30_1,9.2605
C30_2,9.4238
C90_1,9.1204
C90_2,8.7478
SMM_1,8.5735
SMM_2,8.6041
SMM_3,8.5531
Salt_1,7.86
Salt_2,7.7675
Salt_3,7.77
M+G_1,8.9351
M+G_2,8.4697
M+G_3,8.5831
Glu_1,9.0848
Glu_2,8.8152
Glu_3,8.9198
Fru_1,9.0926
Fru_2,9.0675
Fru_3,8.4388
Mal_1,8.0048
Mal_2,8.5323
Mal_3,8.5433
G+S_2,8.4758
G+S_3,8.9044
Pyr_1,8.9546
Pyr_2,9.0832
Pyr_3,9.2708
Gly_1,8.2335
Gly_2,8.6172
Gly_3,8.279
Glucon_1,8.6525
Glucon_2,8.8634
Glucon_3,8.6944
BI_1,9.3202
BI_2,9.4218
BC_2,10.143
BC/t_1,10.1365
BC/t_2,10.2565
BC_1,9.7909
Sw_1,9.8938
Sw_2,10.0525
BMM_1,8.3279
BMM_2,8.2305
BMM_3,8.306000000000001
Heat_1,9.8933
Heat_2,9.5169
Heat_3,9.4977
Cold_1,8.9216
Cold_2,8.6467
Cold_3,8.4457
Etha_1,8.3121
Etha_2,8.243
Etha_3,8.2241
SMMPr_1,8.4544
SMMPr_2,8.5355
SMMPr_3,8.5502
HiTm_1,9.9052
HiTm_2,10.1093
HiTm_3,10.2172
LoTm_1,8.7931
LoTm_2,8.4239
LoTm_3,8.4049
HiOs_1,9.1427
HiOs_2,9.2673
HiOs_3,9.2126
Oxctl_1,8.7189
Oxctl_2,8.7577
Oxctl_3,8.9662
Diami_1,10.1636
Diami_2,10.2523
Diami_3,10.0822
Paraq_1,8.8974
Paraq_2,9.0411
Paraq_3,8.0113
H2O2_1,8.7268
H2O2_2,8.9043
H2O2_3,8.7994
HPh_1,8.905
HPh_2,8.3613
HPh_3,8.8287
LPh_1,8.6983
LPh_2,8.9142
LPh_3,8.7857
LPhT_1,9.7064
LPhT_2,9.4768
LPhT_3,9.7781
aero_1,8.8556
aero_2,8.2133
aero_3,8.6015
nit_1,8.2618
nit_2,8.4841
nit_3,8.2592
ferm_1,8.0029
ferm_2,8.0164
ferm_3,8.4922
