,A,SigV
R2,,0.8688204492441542
xmin,,-4.6202461880608645
xmid,,
xmax,,7.323319489879353
ystart,,-9.787331120263014
yend,,15.762883364167475
amb:ctrl:1,-1.04238292663456,-0.3617412075677633
amb:ctrl:2,0.2017975640095596,-0.2478866259082557
amb:ctrl:3,0.8405853626249895,0.6096278334760195
amb:amb:1,0.5099875571185567,0.1760451243614387
amb:amb:2,1.6940806003451636,0.482677084004937
amb:amb:3,2.0038425612915614,0.7062462617570344
ave1:ctrl_5m:1,-0.07654245331969095,-0.2706282358323344
ave1:vdave1_5m:1,13.995215111202636,5.526697625061795
ave1:ctrl_20m:1,1.9977807177698643,0.3980829704843281
ave1:vdave1_20m:1,19.72798947703471,7.003988861441138
ave1:supernatant_5m:1,-0.5612799159290494,-0.29303215101683033
ave1:vnave1_20m:1,18.86482103301434,7.229453709007398
ave1:supernatant_20m:1,2.9002844734229285,0.9614590233870176
ave1:ctrl_5m:2,0.07654245331969296,0.270628235832334
ave1:vdave1_5m:2,12.773648177014616,5.2534778725511995
ave1:ctrl_20m:2,1.5639019328108403,0.40510758803745306
ave1:vdave1_20m:2,21.293545020275353,7.323319489879353
ave1:supernatant_5m:2,0.9623640159226332,0.4315637779052968
ave1:vnave1_20m:2,19.138890921689995,7.063650405002309
ave1:supernatant_20m:2,1.9708225861736508,0.7020098347281682
biofilm_time:8h:1,-0.03491912341936294,-0.5495168970968576
biofilm_time:8h:2,0.05871988550413255,0.17053387157862288
biofilm_time:8h:3,0.3558315435652454,0.5346905551220398
biofilm_time:8h:4,-0.3796323056500169,-0.15570752960380552
biofilm_time:12h:1,2.4620512858909227,0.8147829307430325
biofilm_time:12h:2,1.535948467134861,0.3154621060622929
biofilm_time:12h:3,1.584162593198863,0.10955795388241583
biofilm_time:12h:4,1.4838181107560802,0.25221182884409377
biofilm_time:16h:1,0.0789670144596,-0.9277252082023032
biofilm_time:16h:2,-0.08501443300632555,-0.5632736961209157
biofilm_time:16h:3,1.981543426436541,1.0569916385445652
biofilm_time:16h:4,2.3273536653388387,0.7860387029844165
biofilm_time:20h:1,3.600590905127812,1.7577332550664837
biofilm_time:20h:2,1.3727586449669706,-0.4101366820612449
biofilm_time:20h:3,4.037749528643897,2.316402606407228
biofilm_time:20h:4,2.133877766238219,-0.08574509166826627
biofilm_time:24h:1,2.5246654422490957,0.8571625103084513
biofilm_time:24h:2,2.4017469608346595,-0.2592558405365448
biofilm_time:24h:3,1.938994991641665,-0.14141739873962764
biofilm_time:24h:4,1.8239941068096512,0.0723925238286971
