,-0.03519753613606105,0.0,0.03519753613606105,0.0703950722721221,0.10559260840818316,0.1407901445442442,0.17598768068030526,0.21118521681636632,0.24638275295242737,0.2815802890884884,0.31677782522454945,0.3519753613606106,0.3871728974966716,0.42237043363273263,0.45756796976879366,0.4927655059048548,0.5279630420409158,0.5631605781769768,0.5983581143130379,0.633555650449099
thresh,-0.05279630420409158,0.05279630420409158,2,,,,,,,,,,,,,,,,,
unreg,158,3955,177,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SigV,0,1,13,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],"['aacD' 'bscR' 'cypB' 'yocK' 'yocL' 'yocM' 'yqaC' 'mmgD' 'pdaC' 'sacB'
 'yrhH' 'yozO']",['iseA' 'ydbO'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
SigV_genes,[],['spoIIB'],"['ycgQ' 'dltE' 'yebC' 'ycgR' 'dltB' 'yqjL' 'dltC' 'dltD' 'ywzH' 'relQ'
 'dltA' 'murF' 'abhA']",['ddlA' 'pbpX'],['bcrC'],[],[],[],[],[],['yrhK' 'oatA'],['rsiV'],['sigV'],[],[],[],[],[],[],[]
