,PSPTOA0038
SRX1828913,0.09730368
SRX1828914,-6.8566472522
SRX1828915,-0.1422088507
SRX1828916,-6.8661363455
SRX1828917,0.044905170700000004
SRX1828918,-6.8412758639
SRX3983989,-1.7155569842
SRX3983990,-1.1005937117
SRX3983993,-4.3141088964
SRX3983994,-3.7502989753
SRX3983995,-0.9301863941
SRX3983996,-3.1818033644
SRX3983997,-3.6510009376
SRX3983998,-0.7102304645
SRX3983999,-0.9458705278
SRX3984000,-1.8716767539
SRX3984001,-3.908528475
SRX3984002,-5.9835596996
SRX3984003,-3.6838520021
SRX3984004,-1.0814953667
SRX3984005,-1.4026872465
SRX3984006,-4.0704533818
SRX3984007,-3.3577545508
SRX3984008,-1.3690510062
SRX3984009,-1.3046752235999999
SRX3984010,-3.8889670892
SRX3984011,-0.9707839225
SRX3984012,-1.4154533256000001
SRX3984013,-1.2435095093
SRX3984014,-1.3691015529000001
SRX3984015,-4.8553336598
SRX3984016,-1.8026992477000001
SRX3984017,-4.1525608239
SRX3984019,-0.8750610308000001
SRX3984020,-4.1392340762
SRX3984021,-3.0459323973
SRX3984022,-4.2437765491
SRX3984023,0.0279299878
SRX3984024,-1.6807830168
SRX3984025,-1.171104668
SRX3984026,-1.2802739942999999
SRX3984027,-1.2457156255
SRX3984028,-1.1484260407
SRX3984029,-1.4609895053
SRX3984031,-4.3181001333
SRX3984032,-4.2104293284
SRX3984034,-0.1171284081
SRX3984035,-3.1750805398
SRX3984036,-3.4966770514
SRX3984037,-2.8801935134
SRX3984038,-3.744605803
SRX3984039,-3.0286846209
SRX3984040,-1.4585978496
SRX3984041,-3.1833640411
SRX3984042,-3.6678323067000003
SRX3984043,-3.2761422249
SRX3984045,-1.6799732566
SRX3984046,-0.0476879634
SRX3984047,-3.6532542178
SRX3984048,-3.6044230805
SRX3984049,-4.7005399917
SRX3984050,-4.4605267811000004
SRX3984051,-3.1160595287
SRX3984052,-1.3172764028000001
SRX3984056,-3.5485270755
SRX3984057,-4.62446996
SRX3984058,-4.3378553182
SRX3984059,-1.3042830956
SRX3984061,-1.0729232324
SRX3984062,-0.8007895125000001
SRX3984063,-1.8231239483000001
SRX3984064,-1.5929138379
SRX3984065,-1.1684480421
SRX3984066,-1.2657206639
SRX3984067,-1.5388594824
SRX3984068,-1.3347442537
SRX3984069,-3.4284846903
SRX3984070,-3.9367843127
SRX3984071,-3.1898048395
SRX3984073,-1.4145540417
SRX3984074,-1.5889065285
SRX3984077,-0.8729546586
SRX3984078,-0.9208422473000001
SRX3984079,-3.576021809
SRX3984080,0.1368863837
SRX3984082,-1.9705735699
SRX3984084,-3.4820801248
SRX6997963,0.0
SRX6997964,0.0
SRX6997965,0.0
SRX6997967,0.0
SRX6997968,0.0
SRX6997969,0.0
SRX6997971,0.0
SRX6997972,0.0
SRX6997973,0.0
SRX3159100,0.0
SRX3159101,0.0
SRX3159102,0.0
SRX3159103,0.0
SRX3159000,0.0
SRX3159001,0.0
SRX3159002,0.0
SRX3159003,0.0
SRX3159004,0.0
SRX3159005,0.0
SRX3159006,0.0
SRX3159007,0.0
SRX3159008,0.0
SRX3159009,0.0
SRX3159010,0.0
SRX3159012,0.0
SRX3159013,0.0
SRX3159014,0.0
SRX3159015,0.0
SRX3159016,0.0
SRX3159017,0.0
SRX3159018,0.0
SRX3159019,0.0
SRX3159020,0.0
SRX3159021,0.0
SRX3159022,0.0
SRX3159023,0.0
SRX3159024,0.0
SRX3159025,0.0
SRX3159026,0.0
SRX3159027,0.0
SRX3159028,0.0
SRX3159029,0.0
SRX3159030,0.0
SRX3159034,0.0
SRX3159036,0.0
SRX3159037,0.0
SRX3159041,0.0
SRX3159042,0.0
SRX3159043,0.0
SRX3159045,0.0
SRX3159047,0.0
SRX3159048,0.0
SRX3159049,0.0
SRX3159050,0.0
SRX3159051,0.0
SRX3159052,0.0
SRX3159053,0.0
SRX3159054,0.0
SRX3159055,0.0
SRX3159056,0.0
SRX3159057,0.0
SRX3159058,0.0
SRX3159060,0.0
SRX3159061,0.0
SRX3159062,0.0
SRX3159063,0.0
SRX3159066,0.0
SRX3159069,0.0
SRX3159070,0.0
SRX3159071,0.0
SRX3159073,0.0
SRX3159074,0.0
SRX3159075,0.0
SRX3159076,0.0
SRX3159080,0.0
SRX3159082,0.0
SRX3159083,0.0
SRX3159086,0.0
SRX3159087,0.0
SRX3159088,0.0
SRX3159089,0.0
SRX3159090,0.0
SRX3159091,0.0
SRX3159092,0.0
SRX3159093,0.0
SRX3159094,0.0
SRX3159095,0.0
SRX3159096,0.0
SRX3159097,0.0
SRX3159098,0.0
SRX3159099,0.0
SRX3158988,-0.1750219687
SRX3158989,-0.4761184057
SRX3158990,-0.1347628082
SRX3158991,0.5160957066
SRX3158992,0.1742217837
SRX3158996,0.000800185
SRX3644656,0.2611217484
SRX3644657,-0.1819652243
SRX3644658,-0.0791565241
SRX3644659,-1.3046015777
SRX3644660,-1.3403533381
SRX3644661,-1.0574874124
SRX3644662,-0.1660099911
SRX3644663,-1.6304558333
SRX3644664,1.093038634
SRX3644665,-0.9718011914
SRX3644666,-2.7866825384
SRX3644667,0.0022688993
SRX3644668,-0.1659464475
SRX3644669,-0.44048642660000004
SRX3644670,-0.29496374200000003
SRX3644671,-0.8126746026
SRX3644672,-1.1803581357
SRX3644673,-1.1222039615
