,A,SgrR,ComR,flhD
R2,,0.18768580838638493,0.08269955551177322,0.016323354688244085
xmin,,-2.936797985,-2.594539486,-4.8555074220000005
xmid,,,,
xmax,,0.9660485990000001,2.498367557,3.101601013
ystart,,5.4924547993986295,3.934972413593015,2.5383456551940737
yend,,-0.9108162119727281,-0.7277469038745079,0.9087375334934286
control__wt_glc__1,0.035973490000000004,-0.076382456,0.022732821,-0.12659477300000002
control__wt_glc__2,-0.035973490000000004,0.076382456,-0.022732821,0.12659477300000002
fur__wt_dpd__1,0.7093779378,0.035355751000000005,0.9834269350000001,-1.767465609
fur__wt_dpd__2,0.4506992312,0.162773252,1.198461491,-1.880887454
fur__wt_fe__1,0.34938350890000003,-0.44007054700000003,-0.18710014100000003,-0.301989067
fur__wt_fe__2,0.2898908877,-0.33259958700000003,-0.186445395,-0.276890647
fur__delfur_dpd__1,-0.1493668243,-0.036693018,0.870972547,-2.018074196
fur__delfur_dpd__2,-0.7028888289,0.01340185,0.9346743970000001,-1.910472906
fur__delfur_fe2__1,-0.19237354,-0.04715077,0.386974578,0.13425278300000001
fur__delfur_fe2__2,0.0231484741,-0.08975933600000001,0.20217404600000002,0.121330005
acid__wt_ph5__1,0.2100145475,0.062519143,0.272922735,-0.7547466570000001
acid__wt_ph5__2,0.3605561398,0.06698799500000001,0.251974678,-0.7751480550000001
acid__delgadx_ph5__2,0.451653332,-0.021010688,0.420986128,-0.668438976
acid__delgadw_ph5__1,0.1479858065,0.161382559,0.32477292100000005,-1.057638203
acid__delgadw_ph5__2,0.23898446040000002,0.017693537000000002,0.200272359,-0.7929399760000001
acid__delgade_ph5__1,0.11592496520000001,0.124636466,0.32357351900000003,-0.675653637
acid__delgade_ph5__2,-0.0176845389,0.118701551,0.33294475700000004,-0.8510678880000001
oxidative__wt_pq__1,3.3295246337,0.32541331900000003,0.36824360500000003,-1.956612878
oxidative__wt_pq__2,3.6111826292,0.475771891,0.39516165600000003,-2.460791912
oxidative__deloxyr_pq__1,2.2650882719,0.555995541,0.6152942840000001,-1.464179796
oxidative__deloxyr_pq__2,2.4968090112,0.657003848,0.623960936,-1.811936766
oxidative__delsoxr_pq__1,2.3434397206,0.339621893,0.460551356,-1.304104916
oxidative__delsoxr_pq__2,1.7233819253,0.097455151,0.54847281,-1.859776541
oxidative__delsoxs_pq__1,3.7683759733,0.6922588150000001,0.757467973,-1.996021893
oxidative__delsoxs_pq__2,3.6381403207,0.610363969,0.713466932,-1.403336773
nac_ntrc__wt_csn__1,0.3501717199,-0.044598831000000005,1.335917747,-0.912579389
nac_ntrc__wt_csn__2,0.5621908103000001,0.129554904,1.420316619,-0.8109859920000001
nac_ntrc__wt_cytd__1,0.7255522001,0.171756348,0.484786331,-0.728730195
nac_ntrc__wt_cytd__2,1.5143159883,-0.028751315000000003,0.541376198,-0.8302642440000001
