,A,rcsB
R2,,0.026741413361823674
xmin,,-8.931931499000001
xmid,,0.2359613047038493
xmax,,1.9262978510000002
ystart,,1.3756000193544242
yend,,9.554962550065634
aat__00m_00s__1,1.5309013758,0.0439989031
aat__00m_30s__1,-1.8808213439,-0.0689313639
aat__01m_00s__1,-1.2541950299,-0.0594392778
aat__02m_00s__1,-1.7609042843,-0.0892396179
aat__05m_00s__1,-1.8085352171,-0.0675196339
aat__10m_00s__1,-1.8639849901,-0.1851855886
aat__00m_00s__2,-1.0758516406,-0.0015479150000000002
aat__00m_30s__2,-1.8617293386,0.0691710462
aat__01m_00s__2,0.0984267045,0.0444643333
aat__02m_00s__2,-2.0272588427,-0.0030881652
aat__05m_00s__2,-1.2750868518,0.0374448874
aat__10m_00s__2,1.521850036,0.1627360479
aat__00m_00s__3,-0.4550497352,-0.0424509881
aat__00m_30s__3,-0.41386841280000003,0.0232434189
aat__01m_00s__3,-1.614814575,-0.0616001044
aat__02m_00s__3,-1.3323309531,0.021274030700000002
aat__05m_00s__3,-0.291135376,0.1997031051
aat__10m_00s__3,0.6143741292,0.1142784181
abx_mega__dmso-2__1,-3.1383881395,-0.3748344724
abx_mega__ery_dmso__1,3.8220055054,-0.4798374756
abx_mega__nal_naoh__1,0.7937915806,-0.8979488966
abx_mega__dmso-5__1,1.1608765504,0.16777988130000002
abx_mega__rif_dmso__1,2.9850272321,-0.3408848131
abx_mega__novo_h2o__1,12.3194873541,-1.5423708553000002
abx_mega__rach_dmso__1,4.1774563869,-0.2757990406
abx_mega__metro_dmso__1,3.3518745333,0.1627652157
abx_mega__dmso-6__1,0.7400702001,0.035825386
abx_mega__chl_h2o__1,-0.9236039317,-0.9490397289
abx_mega__cst_h2o__1,-1.917300817,0.0344037304
abx_mega__tec_h2o__1,23.3517787384,0.3679546261
abx_mega__str_h2o__1,-3.547086776,-0.5018818561
abx_mega__ctx_h2o__1,-1.8932321407,-0.3052663657
abx_mega__nal_naoh__2,-0.6447946014,0.027996525
abx_mega__phos_h2o__1,1.8465622629,0.1314202288
abx_mega__dmso-5__2,4.1543851213,0.1336637714
abx_mega__polmyx_h2o__1,-1.7072296103,-0.2801840496
abx_mega__h2o-8b__1,-0.3749381472,0.1618935164
abx_mega__h2o-6__1,-1.5178363620000002,0.099489143
abx_mega__thio_dmso__1,-1.1950858245,-0.7628962477
abx_mega__phos_h2o__2,0.2971697163,-0.1558562265
abx_mega__ctx_h2o__2,1.1939036146,-0.6092416355
abx_mega__lzd_dmso__1,0.4102074218,-0.4089830961
abx_mega__naoh-9__1,-3.0673389697,0.1682583024
abx_mega__dox_dmso__1,-2.0714997147,0.0957641098
abx_mega__phos_ethanol__1,0.7681594202,0.5898666498
abx_mega__teix_dmso__1,27.6573489605,1.1120882177
abx_mega__dmso-10__1,-1.3395907193,0.2809527721
abx_mega__van_dmso__1,0.7797834478,-0.3795216605
abx_mega__ramo_h2o__1,21.7628372063,0.6179042864000001
abx_mega__tec_h2o__2,16.721110434,0.7060944812000001
abx_mega__h2o-7__1,0.583329466,0.08572760010000001
abx_mega__cro_h2o__1,0.1387692027,-0.1546573686
abx_mega__tric_ethanol__1,-1.2316329907,0.9019371941000001
abx_mega__nor_naoh__1,0.7287818579,-0.1109667847
abx_mega__teix_dmso__2,5.2075108313,-0.1200714722
abx_mega__nal_naoh__3,-0.9801130518000001,-0.0039707902
abx_mega__novo_h2o__2,11.9973595444,-1.5364974948999999
abx_mega__dmso-10__2,-2.1069910605,0.2319356907
abx_mega__phos_h2o__3,-0.9472919708,0.1380821586
abx_mega__dmso-6__2,-1.2756615729,0.0661430321
abx_mega__rfp_ethanol__1,21.5309715111,0.45632589970000004
abx_mega__dmso-5__3,3.7911703899,0.1267694553
abx_mega__amyc-d_dmso__1,9.840034755,0.26775146450000004
abx_mega__sxt_dmso__1,-1.318554094,0.1316869949
abx_mega__dmso-1__1,-0.7527031663,-0.0819666434
abx_mega__pen_h2o__1,7.0612022331,-0.0806030598
abx_mega__dmso-10__3,-0.1577974031,0.2005107907
abx_mega__nal_naoh__4,-2.8577289429,-0.2157227974
abx_mega__cip_naoh__1,-2.7728688888,-0.2464237398
abx_mega__pen_h2o__2,10.0171832367,-0.08702385110000001
abx_mega__ery_dmso__2,5.4354149153,-0.3642836417
abx_mega__dmso-2__2,0.8387961481,-0.7496813320000001
abx_mega__van_dmso__2,-0.7382373128,-0.3576773421
abx_mega__h2o-1b__1,-1.9248764101,-0.0021741662
abx_mega__ery_h2o__1,-0.5515061067,-1.2812399401999999
abx_mega__bacit_h2o__1,24.3023972396,0.5601854118
abx_mega__chl_h2o__2,-0.21425253260000002,-0.9914578036
abx_mega__str_h2o__2,-5.5919129788,-0.9253773778000001
abx_mega__rfp_ethanol__2,22.6569908129,0.6704905679000001
abx_mega__polmyx_h2o__2,-1.5405218334000002,-0.23569314730000002
abx_mega__tric_h2o__1,1.1759374781,1.1306416889
abx_mega__cip_naoh__2,1.9608602438,-0.25458663460000003
abx_mega__novo_h2o__3,7.7014851775,-1.7957966427
abx_mega__bacit_dmso__1,4.3835043662,-0.0680506525
abx_mega__gen_h2o__1,-3.0220628904,-0.4553802012
abx_mega__bacit_dmso__2,4.893897442,0.07888017680000001
abx_mega__chl_dmso__1,6.646623877,-0.0680372408
abx_mega__bacit_h2o__2,20.2458244759,0.7528630789
abx_mega__lvx_dmso__1,2.1084506032,-0.21356526580000001
abx_mega__bacit_h2o__3,26.2536031551,0.6668600963
abx_mega__nor_naoh__2,3.3310088836,-0.2048977561
abx_mega__amyc-d_dmso__2,7.9380438594000005,-0.1356055373
abx_mega__polmyx_h2o__3,-0.2017513498,-0.7911384837000001
abx_mega__naoh-6__1,-0.7651671089000001,0.1634800951
abx_mega__cst_h2o__2,1.5691994101,-0.0108608639
abx_mega__h2o-1b__2,-3.0027850701,-0.29027024430000004
abx_mega__rfp_h2o__1,8.9229400558,-0.7538148141000001
abx_mega__tet_h2o__1,-3.9220310634,-0.45178054430000003
abx_mega__flavo_dmso__1,30.6098871594,0.8322553125000001
