,A,OmpR
R2,,0.25038525922922783
xmin,,-7.3287963615
xmid,,
xmax,,2.2841397175
ystart,,-8.99310458185679
yend,,5.759831111241686
ecoli_00001,0.047217665000000006,-0.0126966675
ecoli_00002,-0.047217665000000006,0.0126966675
ecoli_00003,5.7417161951,0.8978087645
ecoli_00004,6.4763541925,0.9841469155
ecoli_00005,2.0620960693,-0.3913158705
ecoli_00006,2.1450060989,-0.1608317955
ecoli_00007,6.0874599677,1.0269929655
ecoli_00008,6.2586784346,0.7465730295
ecoli_00009,0.2149283783,-0.0156485235
ecoli_00010,0.1565474953,-0.07211176250000001
ecoli_00011,6.8678613513,0.48080166950000003
ecoli_00012,6.8924694736,0.4476175195
ecoli_00014,8.0404398655,0.47636920650000003
ecoli_00015,6.5508085143,0.30114342450000003
ecoli_00016,6.4252253044,0.36205020450000003
ecoli_00017,6.9893942819,0.5208449365
ecoli_00018,7.3557266157,0.4388766685
ecoli_00019,3.0269145829,1.6675239165
ecoli_00020,3.6077652019,1.7681886635000001
ecoli_00021,2.705882984,2.2664033475
ecoli_00022,2.910088047,2.2841397175
ecoli_00023,2.3954699142,0.8586901355000001
ecoli_00024,2.0107095739,0.8787264795
ecoli_00025,3.4944294223,1.2742078985
ecoli_00026,4.0833596818,1.2808481675
ecoli_00027,3.4409104053,0.5813607155
ecoli_00028,3.5931933831,0.5250616165
ecoli_00029,1.7293592748000002,0.5383131135
ecoli_00030,2.2737492744,0.5782536755000001
ecoli_00031,2.4990606544,0.8457322555000001
ecoli_00032,2.6674562766000003,0.9669782635
ecoli_00033,8.72493765,0.7899459955
ecoli_00034,9.5923605325,1.2358673395
ecoli_00035,5.3817902504,0.6289478975
ecoli_00036,5.3579037443,0.4997017365
ecoli_00037,6.9302226782,0.6439744135000001
ecoli_00038,6.525266801,0.7248375975
ecoli_00039,2.60764339,0.1037203085
ecoli_00040,2.6810200387,-0.0229902095
ecoli_00041,4.0145919905,0.5624659635
ecoli_00042,2.9040448957000002,0.2955410415
ecoli_00043,3.2386102933,-0.0310592095
ecoli_00044,3.3152316382,-0.0556702525
ecoli_00045,1.8950545475,-0.3772684395
ecoli_00046,2.9963840184,-0.2503541515
ecoli_00047,2.5350651204,0.0706361115
ecoli_00048,2.5434875915,-0.1550542655
ecoli_00049,6.2822732986,0.5799196735000001
ecoli_00050,-0.2983950581,0.1015298355
ecoli_00051,0.1904884687,-0.0315778465
ecoli_00052,0.4130699712,0.10879134650000001
ecoli_00053,0.5815815311,0.0533057985
ecoli_00054,1.4004011213,0.8866898015
ecoli_00055,0.7817085232000001,0.8338375125
ecoli_00056,0.8915594242,0.3684764575
ecoli_00057,1.6559799863,0.3689345265
ecoli_00058,0.37209023690000004,0.2187370475
ecoli_00059,0.2781403726,0.2390676445
ecoli_00060,0.8335513084,0.0418111275
ecoli_00061,1.2321282308,0.1326083935
ecoli_00062,0.3864595389,0.1298215835
ecoli_00063,0.7413334309,0.2672209385
ecoli_00064,9.0300129703,0.9505348375
ecoli_00065,9.3446108529,1.1507879035
ecoli_00066,-9.2767253733,-7.3287963615
ecoli_00067,-8.6861733291,-7.3287963615
ecoli_00068,1.9804496531,-0.20745900050000002
ecoli_00070,3.9298733984,-0.1422187115
ecoli_00071,2.7301096392,-0.10897056150000001
ecoli_00072,3.392916241,-0.0633119335
ecoli_00073,2.4398618875,-0.1858501405
ecoli_00074,2.2982379817,0.0237857585
ecoli_00075,3.059728143,0.5776341745
ecoli_00077,4.267686008,0.6001697145
ecoli_00078,5.252156927,0.2036643975
ecoli_00079,3.0367432257,0.5676465765
ecoli_00080,3.519233051,-0.7209944715000001
ecoli_00081,2.9918541173,-0.25736778450000003
ecoli_00082,1.1939307053000001,0.3674172275
ecoli_00083,1.3729610264,0.3384722415
ecoli_00084,0.6320427333,0.3834883685
ecoli_00085,-0.5311434809,0.2054923085
ecoli_00086,2.0231196513,0.2869327275
ecoli_00087,1.8168518619,0.3210419345
ecoli_00088,3.0595397063,0.051735604500000004
ecoli_00089,3.2960622238,-0.0001282705
ecoli_00090,3.2145569253,-0.012929336500000001
ecoli_00091,3.5894169107,0.0606533915
ecoli_00092,3.1134415082,0.8796580805
ecoli_00093,4.1535974494,0.1529809235
ecoli_00094,8.4845375563,1.7296796185
ecoli_00095,8.4891253689,1.8043669795000001
ecoli_00096,4.3855762523,1.0493520285
ecoli_00097,4.7450932239,0.8949292855000001
ecoli_00098,7.9248839597,1.4959443845
ecoli_00099,7.500437557,1.4852367445
ecoli_00100,0.6928003979,-0.2559158055
ecoli_00101,2.2564075808,-0.1398647825
ecoli_00102,3.0366566862,-0.1516897425
ecoli_00103,3.2028232781,0.3326916445
ecoli_00104,3.9772002745,0.3498458125
ecoli_00105,1.5977940358,0.1579742805
ecoli_00106,2.3088886411000002,0.1433048495
ecoli_00107,1.6258572032,0.3126312545
ecoli_00108,3.1936303581,1.0442103235
ecoli_00109,4.1334757376,1.2135667065
ecoli_00110,2.9921437454,0.32616224850000003
ecoli_00111,2.8512016648,0.2664844015
ecoli_00112,2.6413994505,0.2742602575
ecoli_00113,8.1620826403,1.9403082005
ecoli_00114,7.0659092007,1.8111272405
ecoli_00115,6.7347901214,1.8476113404999999
ecoli_00116,7.5664719808,0.7401427215
ecoli_00117,7.8265128427,0.8927814425
ecoli_00118,7.2347421308,0.7223680045
ecoli_00119,6.153712724,0.8523272275
ecoli_00120,6.5021691218,0.8443206395
ecoli_00121,5.9754836655,0.7503653915
ecoli_00122,5.6012908061,0.7844405665
ecoli_00123,5.6585925548,0.7645441005
ecoli_00124,5.773037969,0.6764062985
ecoli_00125,2.4925292804,1.5386959225
ecoli_00126,3.0962881429,0.1585621965
ecoli_00127,2.706989397,0.0746911075
