,-0.06918448769999999,-0.05381015709999999,-0.03843582649999999,-0.023061495899999992,-0.007687165299999993,0.007687165300000007,0.023061495900000006,0.038435826500000006,0.053810157100000006,0.06918448769999999,0.0845588183,0.09993314890000002,0.1153074795,0.1306818101,0.1460561407,0.16143047130000002,0.1768048019,0.1921791325,0.20755346309999997,0.22292779370000002
thresh,-0.076871653,0.076871653,7,,,,,,,,,,,,,,,,,
unreg,1,6,28,254,1707,1561,170,32,7,1,3,0,0,1,0,0,0,0,0,0
NtrC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,0,0,4,23,40,10,6,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,3,0,3,24,119,125,17,6,3,0,2,0,0,0,0,0,0,0,0,0
NtrC and RpoN,0,0,2,3,7,5,7,1,2,4,1,0,0,0,0,0,0,0,0,0
RpoN and RpoS,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"NtrC, RpoN, and RpoS",0,0,0,0,3,2,0,0,1,0,1,2,0,1,3,1,1,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['ugpB' 'ugpE' 'ugpA'],[],[],['sgcB'],[],[],[],[],[],[]
NtrC_genes,[],[],[],[],[],['cbl'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN_genes,[],[],[],['hyfJ' 'rtcR' 'hyfI' 'emrD'],"['focB' 'nikA' 'yhjC' 'acrD' 'prpE' 'hycG' 'rhaD' 'hyfB' 'hyfA' 'flhD'
 'hycA' 'yaaU' 'flhC' 'hyfR' 'xdhB' 'hycF' 'hycB' 'atoB' 'pspA' 'radD'
 'nikD' 'ygfK' 'atoE']","['ssnA' 'prpC' 'dcuD' 'hycH' 'atoD' 'nikE' 'ibpB' 'hyfF' 'yahE' 'hycI'
 'atoA' 'glpQ' 'hyfE' 'nikB' 'xdhA' 'xdhC' 'hyfD' 'hycE' 'htpG' 'hypE'
 'hypF' 'zraP' 'nikR' 'aslB' 'pspG' 'pspB' 'nikC' 'prpD' 'hycD' 'pspC'
 'hyfH' 'hyfC' 'fdhF' 'pspD' 'hyfG' 'fhlA' 'zraR' 'rtcA' 'hycC' 'hydN']",['hypA' 'chaC' 'pspE' 'norW' 'gnsA' 'norV' 'zraS' 'rtcB' 'hypD' 'prpB'],['gltK' 'hypB' 'gltJ' 'hypC' 'gltI' 'gltL'],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS_genes,['ynfG' 'ynfH' 'ynfF'],[],['yiaG' 'ansP' 'otsB'],"['dmsD' 'yhfG' 'talA' 'katE' 'tktB' 'yciF' 'otsA' 'treF' 'hofO' 'csgB'
 'gpmM' 'hyaF' 'sra' 'hyaB' 'yihG' 'gltB' 'gltF' 'eno' 'rhaR' 'gltD' 'blr'
 'ppk' 'ydhU' 'mdtA']","['mdtB' 'appY' 'pabA' 'sohB' 'gadE' 'pstS' 'csgC' 'yabI' 'ydhV' 'pfkB'
 'poxB' 'ydhY' 'araG' 'aidB' 'pgk' 'metK' 'mdtC' 'yeiL' 'gyrB' 'murR'
 'osmB' 'yafP' 'viaA' 'osmF' 'osmY' 'hyaA' 'yqiH' 'hyaC' 'nhaA' 'kbp'
 'yadS' 'murP' 'csgG' 'ydbK' 'csgD' 'fbaA' 'ymgC' 'ppx' 'ydhT' 'ydhW'
 'ada' 'glgC' 'ybiI' 'glk' 'fumC' 'alkB' 'araH' 'mtn' 'ldcC' 'dkgB' 'sodC'
 'dhaM' 'yadV' 'yafO' 'alkA' 'fau' 'gadW' 'pykA' 'cbpA' 'yciG' 'yhiD'
 'hofM' 'proV' 'hyaD' 'pfkA' 'csrA' 'hdeA' 'mlrA' 'proP' 'ydhX' 'glgA'
 'mglA' 'yhjG' 'murQ' 'evgA' 'puuC' 'galK' 'ynfE' 'proW' 'csiE' 'insN'
 'gadX' 'glgP' 'ynfB' 'rraA' 'pstC' 'ecnB' 'pykF' 'setA' 'envC' 'pstA'
 'gadB' 'cpxA' 'yddG' 'puuE' 'mpl' 'ymgA' 'ariR' 'gpmA' 'pcnB' 'cfa'
 'gapA' 'fic' 'baeR' 'osmC' 'cpxR' 'ybgA' 'xapA' 'dhaL' 'puuB' 'ravA'
 'dinB' 'galT' 'yafN' 'pqiA' 'hdeB' 'pgi' 'btuF' 'sgrT']","['pstB' 'yehW' 'nhaR' 'pphA' 'dhaK' 'galM' 'msyB' 'galE' 'mdtE' 'ybjP'
 'csgA' 'artP' 'ilvY' 'pdhR' 'mglB' 'speG' 'crr' 'gadA' 'asr' 'gadC'
 'yffP' 'mnmG' 'lsrD' 'pqiB' 'dgcC' 'fbaB' 'bsmA' 'csgF' 'insI-1' 'puuD'
 'osmE' 'sucB' 'ihfA' 'iraD' 'uspB' 'yibQ' 'blc' 'insC-5' 'phoU' 'mdtD'
 'htrE' 'sucA' 'yciT' 'cbpM' 'wrbA' 'puuA' 'acnA' 'btsT' 'proX' 'dhaR'
 'mutS' 'insD-5' 'ftsZ' 'yciZ' 'ydcS' 'ycgZ' 'topA' 'pdeC' 'glsA' 'ftsA'
 'tolC' 'oxyR' 'lsrC' 'aceF' 'recF' 'pqiC' 'puuR' 'yffO' 'rssB' 'ytfK'
 'gor' 'rssA' 'rsmG' 'aceE' 'artQ' 'evgS' 'xthA' 'luxS' 'ybaT' 'dnaN'
 'adhE' 'ftsQ' 'ompN' 'treA' 'phr' 'rhaS' 'mglC' 'yehY' 'lsrA' 'folK'
 'hdfR' 'sucD' 'hmp' 'sucC' 'hdeD' 'tpiA' 'araF' 'mdtF' 'epd' 'elaB'
 'ygiB' 'baeS' 'tam' 'bolA' 'yccJ' 'yggE' 'hyaE' 'ygiC' 'ydbD' 'artM'
 'glgS' 'lpd' 'ydcT' 'artI' 'znuA' 'appC' 'yhiM' 'lsrB' 'hchA' 'pdeR'
 'rsd' 'yciE' 'frdD' 'lsrF' 'dkgA']","['hofN' 'csgE' 'lsrG' 'speB' 'appA' 'frdC' 'frdB' 'yehX' 'ompF' 'ydcU'
 'frdA' 'speC' 'appB' 'ihfB' 'yqiI' 'dps' 'patD']",['gabD' 'gabT' 'narU' 'aldB' 'gabP' 'lhgO'],['csiD' 'ydcV' 'acs'],[],['yjcH' 'fadL'],[],[],[],[],[],[],[],[],[]
NtrC and RpoN_genes,[],[],['glnA' 'nac'],['rutD' 'rutE' 'rutB'],['rutF' 'rutC' 'glnK' 'glnP' 'rutA' 'rutG' 'glnH'],['potF' 'potG' 'relA' 'glnL' 'potH'],['yeaG' 'ntrC' 'potI' 'glnQ' 'yeaH' 'hisM' 'hisQ'],['hisJ'],['hisP' 'argT'],['yhdZ' 'yhdY' 'yhdX' 'amtB'],['yhdW'],[],[],[],[],[],[],[],[],[]
RpoN and RpoS_genes,[],[],[],[],['ymjE' 'xapB'],['rpoH'],['puuP'],[],[],[],['actP'],[],[],[],[],[],[],[],[],[]
"NtrC, RpoN, and RpoS_genes",[],[],[],[],['rseD' 'rpoE' 'rseA'],['rseB' 'rseC'],[],[],['patA'],[],['ddpF'],['ddpD' 'ddpC'],[],['astE'],['ddpB' 'ddpA' 'astB'],['astD'],['ddpX'],['astA' 'astC'],[],[]
