,A,RpoS,NtrC,RpoN
R2,,0.17702062958342324,0.16400975327912914,0.05259524929310844
xmin,,-2.479313904,-5.0016790975,-2.3873792415
xmid,,-1.4679312325691856,0.7588947410325338,
xmax,,3.009075552,2.3228636585,1.0586750145
ystart,,-6.093216915654331,-2.2081416369999705,-6.925976651251427
yend,,3.791220540190693,15.816009684033382,0.9849643795213567
control__wt_glc__1,-0.40604093350000003,-0.049727751,-0.0663149515,-0.0046102245
control__wt_glc__2,0.40604093350000003,0.049727751,0.0663149515,0.0046102245
fur__wt_dpd__1,3.3468647252,1.650326502,-0.9027221265,0.7030172055
fur__wt_dpd__2,3.4896171574,1.6437026920000002,-0.8100453285,0.8161369585
fur__wt_fe__1,0.1845094581,-0.22947255900000002,0.3333157335,-0.0984432415
fur__wt_fe__2,0.14672260580000002,-0.271725376,0.1918387795,-0.0146245195
fur__delfur_dpd__1,2.7460474973,1.527195722,-0.9745198565000001,0.5910067835
fur__delfur_dpd__2,2.4023689458,1.238544582,-0.9791649365,0.7714851735
fur__delfur_fe2__1,0.4232216703,0.6013075320000001,-0.5153295755,0.1582958355
fur__delfur_fe2__2,0.40778795100000004,0.622610922,-0.6166971005,0.09519432950000001
acid__wt_ph5__1,-0.0110826455,0.177302749,-0.030201500500000002,0.1518490055
acid__wt_ph5__2,0.0050169009,0.18070148100000002,-0.0418123075,0.22540910150000001
acid__delgadx_ph5__2,0.2461720248,0.041918445000000006,0.0907959675,0.2189185305
acid__delgadw_ph5__1,-0.1550987772,0.132946996,-0.1128848325,0.1845077045
acid__delgadw_ph5__2,0.213469123,0.028727889000000003,-0.1520608205,0.1457626175
acid__delgade_ph5__1,0.49291487180000004,0.245873005,0.0096443935,0.16061627050000002
acid__delgade_ph5__2,0.6834073947,0.353677022,0.0527451275,0.23216701250000002
oxidative__wt_pq__1,5.7362549064,2.449326732,-0.3496920405,0.4468107435
oxidative__wt_pq__2,5.9660709252,2.150239472,-0.2896351935,0.3896680745
oxidative__deloxyr_pq__1,4.8037745071,1.918683632,-0.4274229505,0.3630092975
oxidative__deloxyr_pq__2,5.0399389441,1.875718832,-0.4273335855,0.36022816350000003
oxidative__delsoxr_pq__1,5.0071811741,2.174649812,-0.4371913215,0.45338366350000003
oxidative__delsoxr_pq__2,5.1671714855,2.132365622,-0.43687249850000004,0.43859741750000003
oxidative__delsoxs_pq__1,4.96778291,2.427061572,-0.1740475125,0.6504048325
oxidative__delsoxs_pq__2,5.4722102222,2.475274892,-0.08507181550000001,0.6203968145000001
nac_ntrc__wt_csn__1,7.5048917528,1.849426562,1.0903374365,0.3878049415
nac_ntrc__wt_csn__2,8.0986173333,1.826245562,1.1212646785,0.38617062950000003
nac_ntrc__wt_cytd__1,12.8146041942,0.9658633820000001,2.1180870945,0.1780138735
nac_ntrc__wt_cytd__2,12.8459920892,0.8995555820000001,2.1021411325,0.14013047450000002
nac_ntrc__wt_gln__1,16.9725022665,1.143877012,2.2411077535,0.38755840750000004
nac_ntrc__wt_gln__2,16.0923045746,1.201356272,2.2415717735,0.3112008835
nac_ntrc__bw_delnac_csn__1,6.7157641338000005,2.170823912,1.3996019745,0.6216542455
nac_ntrc__bw_delnac_csn__2,8.3525110167,2.363496512,1.7068628635,0.8497727805
nac_ntrc__bw_delnac_cytd__1,11.993990809,1.560056102,2.0344093525,0.1636119455
nac_ntrc__bw_delnac_cytd__2,12.3928765543,1.572826172,1.9781382805,0.2066971445
nac_ntrc__bw_delnac_gln__1,15.8578892969,1.461736342,2.3228636585,0.3080251985
nac_ntrc__bw_delnac_gln__2,15.6002225877,1.4067977520000001,2.2629229235,0.2967956055
nac_ntrc__bw_delnac_nh4__1,-3.4499444328,0.360177262,-0.32113175450000003,-0.2040379745
nac_ntrc__bw_delnac_nh4__2,-3.48985139,0.369957452,-0.3399916805,-0.2513449025
misc__wt_no_te__1,2.0970424613,0.9244569520000001,-0.8669320615,0.4210455765
misc__wt_no_te__2,1.0311596427,0.42003344200000003,-0.48445816350000004,0.3409092855
misc__bw_delcbl__1,-0.6486753270000001,0.24477252300000002,-0.2871926555,0.26062700850000003
misc__bw_delcbl__2,-0.5015371534,0.071577395,-0.4352825115,0.3284104245
