,ompW
Cr_1,-0.15762277573211533
Cr_2,-0.18153972324594425
Cr_3,-0.2394324509256701
Cr_4,-0.24402978745702306
Cr_5,-0.27164178655981897
Cr_6,-0.30646045002595873
Fe_1,0.07323043816278434
Fe_2,0.057192866882487266
Fe_3,0.21875013604196927
Fe_4,1.6022104921339713
Fe_5,0.3005720015861281
Fe_6,0.6004442634389299
Cd_1,-0.04148071573425949
Cd_2,-0.05413010545083195
Cd_3,0.0020925974289567034
Cd_4,0.06615429734176376
Cd_5,0.16142244756165042
Cd_6,0.16610429131812862
Zn_1,0.15130090835370535
Zn_2,0.024679318070113292
Zn_3,-0.1017799583377677
Zn_4,0.18063750520088026
Zn_5,0.06709918952665116
Zn_6,0.051937746875250386
Cu_1,0.0006139193708124466
Cu_2,0.012024231728658798
Cu_3,0.02828531993092422
Cu_4,-0.0366759675076984
Cu_5,0.006588978835605017
Cu_6,-0.03776618730743585
Pb_1,0.09833358262560582
Pb_2,-0.04228740021911402
Pb_3,-0.06526367757269022
Pb_4,-0.061002325991294674
Pb_5,0.00042628975911929433
Pb_6,-0.03229807805362861
