,ygeY
Cr_1,0.005103104392156676
Cr_2,0.0027512615112584697
Cr_3,0.00612542493640791
Cr_4,0.020996524477184527
Cr_5,0.033786929054518244
Cr_6,0.0386414553976469
Fe_1,-0.01187364475836194
Fe_2,-0.028945831771725605
Fe_3,-0.03874616894004297
Fe_4,-0.04366339529928998
Fe_5,-0.04485343820071981
Fe_6,-0.046307761242262775
Cd_1,-0.017819847311060143
Cd_2,-0.03217098044152122
Cd_3,-0.04745254073298927
Cd_4,-0.061105998588679725
Cd_5,-0.06578321746071822
Cd_6,-0.060988798486088326
Zn_1,-0.008136511126123503
Zn_2,-0.011307122575433584
Zn_3,0.0014822702818807773
Zn_4,0.017611854584161302
Zn_5,0.029728708772893343
Zn_6,0.0410168169127295
Cu_1,0.0005302724655650835
Cu_2,-0.0020901242586026988
Cu_3,-0.004176777790333146
Cu_4,-0.007457422148018559
Cu_5,-0.006764482419848801
Cu_6,-0.0029263118127825782
Pb_1,0.00018207999470732527
Pb_2,0.008505271458151574
Pb_3,0.014510534270784163
Pb_4,0.023506294933258717
Pb_5,0.023885878872625232
Pb_6,0.031170350148933764
