,pth
Cr_1,0.000896336233510226
Cr_2,-0.0026691641642629486
Cr_3,-0.007036327494744381
Cr_4,-0.01020351198330008
Cr_5,-0.012509482573138995
Cr_6,-0.018340468728229243
Fe_1,-0.01144306393756297
Fe_2,-0.018002897117693574
Fe_3,-0.013024578581955692
Fe_4,-0.010101670782067687
Fe_5,-0.014505378576126503
Fe_6,-0.014267276945335859
Cd_1,9.392125068921376e-06
Cd_2,0.002194844861319785
Cd_3,0.00090997872310172
Cd_4,3.9281773873583175e-05
Cd_5,-0.004287687030187151
Cd_6,-0.004518970128070132
Zn_1,-0.003569172076425782
Zn_2,0.0015236612956463949
Zn_3,0.02150772352964865
Zn_4,0.041675595996837726
Zn_5,0.051648625468026205
Zn_6,0.06676419319105384
Cu_1,0.013880907481291707
Cu_2,0.01015452259659718
Cu_3,0.005611374416612372
Cu_4,0.00110900832957179
Cu_5,-0.0017957535291118082
Cu_6,-0.0006257707887080472
Pb_1,0.0029980356087891684
Pb_2,0.005176792140482836
Pb_3,0.009911294231662073
Pb_4,0.012581137107949909
Pb_5,0.013764365902180976
Pb_6,0.01689867502045948
