,new_3354935_3355044_c
M9exp_1,11.5515
M9exp_2,11.351
M9exp_3,11.1274
M9tran_1,10.8805
M9tran_2,10.7943
M9tran_3,11.0379
M9stat_1,9.5243
M9stat_2,9.6055
M9stat_3,9.3224
MG-0.1_1,11.1257
MG-0.1_2,10.2633
MG-0.1_3,11.5254
MG-0.2_2,10.7613
MG-0.2_3,11.2147
MG+5_1,11.236
MG+5_2,10.8488
MG+5_3,11.0298
MG+10_1,11.4852
MG+10_2,11.1136
MG+10_3,10.6242
MG+15_1,10.8191
MG+15_2,12.098
MG+15_3,11.5066
MG+25_1,11.268
MG+25_2,11.0877
MG+25_3,11.5391
MG+45_1,11.4963
MG+45_2,10.7408
MG+45_3,11.747
MG+60_2,11.0617
MG+60_3,11.1668
MG+90_2,10.7267
MG+90_3,11.5076
MG+120_1,10.396
MG+120_2,11.2307
MG+120_3,10.8102
MG+150_1,11.0516
MG+150_3,11.191
GM-0.1_1,10.8504
GM-0.1_2,10.9149
GM-0.1_3,11.1536
GM-0.2_1,10.7611
GM-0.2_2,11.2663
GM-0.2_3,10.8208
GM+5_1,10.7275
GM+5_2,11.0537
GM+5_3,11.0745
GM+10_2,11.0819
GM+10_3,10.0458
GM+15_1,11.3287
GM+15_2,10.9992
GM+15_3,11.0556
GM+25_1,11.3619
GM+25_2,11.2445
GM+25_3,10.7511
GM+45_1,11.5461
GM+45_2,10.4344
GM+45_3,10.3237
GM+60_1,11.2478
GM+60_2,10.4447
GM+60_3,10.508
GM+90_1,11.6143
GM+90_2,11.5917
GM+90_3,10.9501
GM+120_1,10.8496
GM+120_3,11.2586
GM+150_1,11.2257
GM+150_2,10.1403
GM+150_3,11.2059
BT_1,9.8106
BT_2,9.3764
B36_1,10.3719
B36_2,9.9733
B60_1,10.4616
B60_2,10.622
S0_1,11.1306
S0_2,11.6734
S0_3,11.4578
S1_1,11.4178
S1_2,11.3438
S1_3,11.522
S2_1,10.6732
S2_2,10.3186
S2_3,10.066
S3_1,11.035
S3_2,10.9498
S4_1,11.1624
S4_2,10.5758
S4_3,10.4537
S5_1,10.3526
S5_2,10.3477
S5_3,10.7117
S6_1,10.0407
S6_2,8.235
S6_3,10.0914
S6/t_1,9.8177
S6/t_2,7.891
S6_4,9.6438
S6_5,10.1151
S6_6,10.1602
S7_4,10.1961
S7_5,10.1485
S7_6,10.3813
S8_4,9.6465
S8_5,9.8075
G135_1,12.5312
G135_3,10.7156
G150_1,12.0046
G150_2,12.6792
G150_3,12.265999999999998
G180_1,12.3926
G180_2,12.8314
G180_3,11.776
T-5.40H_1,11.6013
T-4.40H_1,11.4763
T-3.40H_1,11.4525
T-2.40H_1,11.3314
T-1.40H_1,11.187
T-1.10H_1,11.1586
T-0.40H_1,11.1671
T0.0H_1,10.9588
T0.30H_1,9.9512
T1.0H_1,9.8313
T1.30H_1,9.9179
T2.0H_1,9.985
T2.30H_1,10.5058
T3.0H_1,10.1566
T3.30H_1,10.3625
T4.0H_1,10.3707
T5.0H_1,9.9663
LBexp_1,12.124
LBexp_2,11.7418
LBexp_3,11.4826
LBtran_1,11.5895
LBtran_2,11.6521
LBtran_3,11.7985
LBstat_1,10.0868
LBstat_2,9.7939
LBstat_3,9.3222
LBGexp_1,12.4968
LBGexp_2,12.5078
LBGexp_3,12.4517
LBGtran_2,11.2193
LBGtran_3,12.0332
LBGstat_1,11.7675
LBGstat_2,11.3423
LBGstat_3,11.2523
Mt0_1,11.8843
Mt0_3,12.1024
M0t45_1,11.9017
M0t45_2,11.9723
M0t45_3,12.2851
M0t90_1,9.7044
M0t90_2,11.0032
M0t90_3,10.618
M40t45_1,11.6838
M40t45_2,11.7326
M40t45_3,12.3931
M40t90_1,10.2179
M40t90_2,11.1936
M40t90_3,11.2076
dia0_1,11.8729
dia0_2,11.7967
dia0_3,12.1323
dia5_1,11.2177
dia5_2,11.5236
dia5_3,11.6119
dia15_1,12.6386
dia15_2,13.3041
dia15_3,12.4253
C30_1,10.1374
C30_2,10.3307
C90_1,10.7725
C90_2,10.9305
SMM_1,11.3456
SMM_2,11.1838
SMM_3,11.2827
Salt_1,12.749
Salt_2,12.6442
Salt_3,12.6425
M+G_1,10.9018
M+G_2,11.1056
M+G_3,11.1021
Glu_1,11.4482
Glu_2,11.1371
Glu_3,11.1387
Fru_1,10.889
Fru_2,11.3271
Fru_3,10.879
Mal_1,10.3932
Mal_2,10.5502
Mal_3,10.9557
G+S_2,10.4209
G+S_3,10.7834
Pyr_1,10.1059
Pyr_2,10.4689
Pyr_3,10.4109
Gly_1,9.2875
Gly_2,9.8241
Gly_3,8.9653
Glucon_1,10.1168
Glucon_2,10.5574
Glucon_3,9.8494
BI_1,11.2413
BI_2,11.5421
BC_2,11.1751
BC/t_1,10.5428
BC/t_2,10.9918
BC_1,10.8432
Sw_1,10.9382
Sw_2,11.3753
BMM_1,11.5046
BMM_2,11.2994
BMM_3,11.6584
Heat_1,12.1506
Heat_2,11.8056
Heat_3,11.7365
Cold_1,11.8329
Cold_2,11.0278
Cold_3,10.9266
Etha_1,11.0846
Etha_2,11.1512
Etha_3,11.3468
SMMPr_1,10.927
SMMPr_2,11.0158
SMMPr_3,11.3627
HiTm_1,9.5077
HiTm_2,11.0774
HiTm_3,11.2983
LoTm_1,10.5654
LoTm_2,10.4364
LoTm_3,10.1746
HiOs_1,11.452
HiOs_2,11.1137
HiOs_3,11.1062
Oxctl_1,11.9033
Oxctl_2,11.8212
Oxctl_3,12.4558
Diami_1,11.613
Diami_2,12.4691
Diami_3,12.1733
Paraq_1,12.5061
Paraq_2,13.1003
Paraq_3,11.8297
H2O2_1,12.9317
H2O2_2,13.2096
H2O2_3,13.0247
HPh_1,12.293
HPh_2,12.0799
HPh_3,12.1997
LPh_1,12.0953
LPh_2,12.6196
LPh_3,12.1472
LPhT_1,10.7139
LPhT_2,10.5564
LPhT_3,10.5838
aero_1,12.5249
aero_2,11.4714
aero_3,12.3811
nit_1,11.2245
nit_2,11.7422
nit_3,11.5208
ferm_1,11.3087
ferm_2,11.3329
ferm_3,11.7813
