,lacI
Cr_1,-0.002711172037358409
Cr_2,-0.007394160812898491
Cr_3,-0.006574469699565132
Cr_4,-0.0005054324779154177
Cr_5,0.0035730513368038494
Cr_6,0.003170551080048918
Fe_1,-0.014116759229337953
Fe_2,-0.021623159305094126
Fe_3,-0.026219546510031163
Fe_4,-0.036755941261240606
Fe_5,-0.04763931986634313
Fe_6,-0.05528118273310373
Cd_1,-0.002808287059177473
Cd_2,-0.006449434825381419
Cd_3,-0.004878623836994458
Cd_4,0.004484992972116271
Cd_5,0.0044457423206679565
Cd_6,0.008814725459255848
Zn_1,-0.016583805215529063
Zn_2,-0.020655089975551717
Zn_3,-0.024366546263248242
Zn_4,-0.026589353289733626
Zn_5,-0.02671174345320229
Zn_6,-0.02275838407887168
Cu_1,0.005113350984771195
Cu_2,0.010011936509230155
Cu_3,0.016848215573785994
Cu_4,0.017857905573685783
Cu_5,0.02211175207467337
Cu_6,0.023300568822351424
Pb_1,0.006750026907824558
Pb_2,0.014680354434076472
Pb_3,0.023623766014456392
Pb_4,0.028879561704036324
Pb_5,0.037702791209720934
Pb_6,0.04672210886296923
