,ylcE
Cr_1,0.004962118701362391
Cr_2,0.011997595601498238
Cr_3,0.018781345887369936
Cr_4,0.028605650179899533
Cr_5,0.038712597749674636
Cr_6,0.046915756249862696
Fe_1,-0.009115963529570198
Fe_2,-0.022343979963274783
Fe_3,-0.02677967151234624
Fe_4,-0.026985558421500192
Fe_5,-0.01879480680924351
Fe_6,-0.011826907817884924
Cd_1,-0.002994973538167796
Cd_2,-0.0026755791558757576
Cd_3,-0.0016397071710024381
Cd_4,-0.00040807515331350754
Cd_5,-0.003306428285721508
Cd_6,0.0007640598255247322
Zn_1,0.0001186133104394252
Zn_2,0.012923218030635052
Zn_3,0.021116978771560425
Zn_4,0.02626537032415391
Zn_5,0.031732236892352175
Zn_6,0.03777988122395147
Cu_1,0.00022228783430219853
Cu_2,0.004212284142167374
Cu_3,0.009396202080610731
Cu_4,0.011435976110271138
Cu_5,0.01790334758627317
Cu_6,0.02537590653487195
Pb_1,0.0073895846783046315
Pb_2,0.0161457622278954
Pb_3,0.025961447594563102
Pb_4,0.03642619684467178
Pb_5,0.05000796978935454
Pb_6,0.06589075567882813
