,yhgF
Cr_1,0.0003775844663163222
Cr_2,-0.0004640718640325414
Cr_3,-0.001461274163508637
Cr_4,-0.001755573529911008
Cr_5,-0.0013927157625367981
Cr_6,-0.002116810614403625
Fe_1,-0.0044533861368123
Fe_2,-0.012231455780388886
Fe_3,-0.014670243563168681
Fe_4,-0.020918548572755883
Fe_5,-0.024389061510423155
Fe_6,-0.02159448623453571
Cd_1,-0.0006603039431179943
Cd_2,0.0001972530309610328
Cd_3,0.0005733727229294687
Cd_4,0.001714584968972741
Cd_5,-0.001365435156237859
Cd_6,0.00102583118691501
Zn_1,0.00263199474417266
Zn_2,0.008051595294352605
Zn_3,0.022062827891481892
Zn_4,0.03902934676281556
Zn_5,0.05621136817525205
Zn_6,0.07158233692292189
Cu_1,0.003421138550618004
Cu_2,0.008896525933883999
Cu_3,0.013656607703101528
Cu_4,0.018353452922988255
Cu_5,0.025582568584991826
Cu_6,0.03250125124517868
Pb_1,0.010945897675506987
Pb_2,0.016193955594563426
Pb_3,0.020456409782272363
Pb_4,0.028396041434937475
Pb_5,0.03839346632812963
Pb_6,0.04952137769945191
