,ybcK
Cr_1,-0.003566742526958476
Cr_2,-0.006897144556991529
Cr_3,-0.006861276469096392
Cr_4,-0.006790282419615832
Cr_5,0.0015320919558197154
Cr_6,0.02207864266731717
Fe_1,-0.046419706209330114
Fe_2,-0.09344606258029604
Fe_3,-0.10600007634154343
Fe_4,-0.08133966097094522
Fe_5,-0.056743203888955984
Fe_6,-0.053447537157992484
Cd_1,-0.0003951942594355708
Cd_2,0.00022554142371935068
Cd_3,-0.006511106372969804
Cd_4,9.269491688001712e-05
Cd_5,0.006167302745288969
Cd_6,0.011801386258943995
Zn_1,-0.0038761215858187374
Zn_2,-0.005328039230293896
Zn_3,-0.004568760801324111
Zn_4,0.0011839565440477946
Zn_5,-0.005149159834872369
Zn_6,-0.02278717705232072
Cu_1,0.00922023145110106
Cu_2,0.012038331383845573
Cu_3,0.017359285431547678
Cu_4,0.014241698862069854
Cu_5,0.023289704905662033
Cu_6,0.02934997157651455
Pb_1,-0.007709629489839667
Pb_2,-0.002733495588772563
Pb_3,0.005902841455669015
Pb_4,0.015794568435223123
Pb_5,0.02607808550223112
Pb_6,0.036647456347559636
