,dmsA
Cr_1,-0.007367876265812526
Cr_2,-0.006913685439764282
Cr_3,-0.003435090063468493
Cr_4,-0.005579414989932536
Cr_5,-0.0024671866077816736
Cr_6,0.0012725319979891507
Fe_1,-0.0039473230538727005
Fe_2,-0.02860303267200518
Fe_3,-0.040429063766226035
Fe_4,-0.07117569670462487
Fe_5,-0.09030104572291824
Fe_6,-0.11146603590255008
Cd_1,-0.0055325541875361865
Cd_2,-0.006095988949594682
Cd_3,-0.001714007501029349
Cd_4,0.002639993055966221
Cd_5,0.004986375083611046
Cd_6,0.014754391286456526
Zn_1,-0.01741210313988229
Zn_2,-0.019909303943158544
Zn_3,-0.010918869146891452
Zn_4,0.00807833046814602
Zn_5,0.02038316182894537
Zn_6,0.02913457133276058
Cu_1,0.006149532009181325
Cu_2,0.010741678873321595
Cu_3,0.01672154073519785
Cu_4,0.023372540827488655
Cu_5,0.026501954670398963
Cu_6,0.0297799617917181
Pb_1,0.007028095671361822
Pb_2,0.010192815777463176
Pb_3,0.019988225099719325
Pb_4,0.031465327159487765
Pb_5,0.03948616599399713
Pb_6,0.044540223414174115
