gene_id,USA300HOU_RS00875
name,cap5P
operon,"cap5H,cap5I,cap5J,cap5K,cap5L,capM,cap5N,wecC,cap5P"
product,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
cog,Cell wall/membrane/envelope biogenesis
regulator(s),CodY
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN000994000"">AureoWiki</a>"
