,fsaA
Cr_1,0.0010206195539714338
Cr_2,-0.0008030139369843182
Cr_3,0.003563895147551789
Cr_4,0.007824910810062065
Cr_5,0.00905448478285361
Cr_6,0.009646621855035672
Fe_1,-0.006114015362975981
Fe_2,-0.023916854900325614
Fe_3,-0.044781525178256
Fe_4,-0.06268192704403673
Fe_5,-0.08265089821507587
Fe_6,-0.08747495381236271
Cd_1,0.005226049547594175
Cd_2,0.01180972531320862
Cd_3,0.01533382142463803
Cd_4,0.013264000204191712
Cd_5,0.0007216275745469582
Cd_6,-0.007761347545307844
Zn_1,-0.0012505894747595126
Zn_2,-0.0008337379863664657
Zn_3,-0.0012013844179280134
Zn_4,0.005459944034098378
Zn_5,0.018847935916926687
Zn_6,0.028226101234281112
Cu_1,0.0024129223847246424
Cu_2,0.003732875797841806
Cu_3,0.007278506414620459
Cu_4,0.0037124854076849975
Cu_5,0.00665103620381225
Cu_6,0.014811996066598585
Pb_1,0.00825441184771385
Pb_2,0.014084671661951018
Pb_3,0.02516926654957867
Pb_4,0.037306861316709766
Pb_5,0.04476589962736557
Pb_6,0.054796318757366236
