,ycdZ
Cr_1,0.004552081210732036
Cr_2,0.010488736468265302
Cr_3,0.015573411392052457
Cr_4,0.020274917017711804
Cr_5,0.027959980740578743
Cr_6,0.035193001488270856
Fe_1,0.004348033786385314
Fe_2,0.012682406474817531
Fe_3,0.023010496314798717
Fe_4,0.021312531796758925
Fe_5,0.020472438259110763
Fe_6,0.019493770563969736
Cd_1,0.0038547853810643883
Cd_2,0.011989509834853371
Cd_3,0.02122369318808271
Cd_4,0.02883695445723176
Cd_5,0.030831308497761112
Cd_6,0.03898243324332978
Zn_1,0.0010854869166615226
Zn_2,0.014159479329410134
Zn_3,0.03405982712546487
Zn_4,0.05625053012993845
Zn_5,0.0798173689724265
Zn_6,0.09708177369101152
Cu_1,-0.0045124624698959104
Cu_2,-0.007821188420229837
Cu_3,-0.006124169722099518
Cu_4,-0.0070673527005137215
Cu_5,-0.0032395028512132947
Cu_6,0.0035386143431160445
Pb_1,0.008460527131009216
Pb_2,0.016813687425893217
Pb_3,0.02435747773004289
Pb_4,0.033491173427254606
Pb_5,0.03904555428365148
Pb_6,0.045373161640996536
