,yihN
Cr_1,0.011331812657090396
Cr_2,0.021530406822167426
Cr_3,0.029794478374714533
Cr_4,0.04663198362443621
Cr_5,0.07028289530018055
Cr_6,0.09677709657583627
Fe_1,-0.008197169100039549
Fe_2,-0.03893024051653556
Fe_3,-0.08388417064569653
Fe_4,-0.14180158643408838
Fe_5,-0.19720202324247352
Fe_6,-0.25056975098011125
Cd_1,0.0020922111456652087
Cd_2,0.012563976863137332
Cd_3,0.03298212751618891
Cd_4,0.07768501969429624
Cd_5,0.13634281104962445
Cd_6,0.195154745045416
Zn_1,-0.012669213132664623
Zn_2,-0.009691092512054016
Zn_3,0.002193604779387596
Zn_4,0.008347433959702468
Zn_5,0.02322662062746621
Zn_6,0.0298132956153404
Cu_1,0.007806856368890484
Cu_2,0.014883563931011881
Cu_3,0.02491218052218324
Cu_4,0.03497526376450655
Cu_5,0.036946053538633776
Cu_6,0.032333572732500225
Pb_1,1.0670380522042747e-05
Pb_2,0.001977783919913751
Pb_3,0.009693121419384944
Pb_4,0.02269390443105028
Pb_5,0.025097556047714912
Pb_6,0.029335080568865607
