,-0.29571408943838506,-0.2464284078653209,-0.1971427262922567,-0.14785704471919253,-0.09857136314612835,-0.04928568157306418,0.0,0.04928568157306418,0.09857136314612835,0.14785704471919253,0.1971427262922567,0.24642840786532083,0.29571408943838506,0.3449997710114493,0.3942854525845134,0.44357113415757754,0.4928568157306418,0.542142497303706,0.5914281788767701,0.6407138604498342
thresh,-0.3203569302249172,0.3203569302249172,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,106,5348,107,0,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['kdpF'],[],[]
