,luxS
Cr_1,0.0006276734653741813
Cr_2,0.004320982185123436
Cr_3,0.00445389375295332
Cr_4,0.0009592882675261217
Cr_5,-0.008529825639215461
Cr_6,-0.01154045433380095
Fe_1,-0.03570998612477372
Fe_2,-0.11714044641683477
Fe_3,-0.19868694299254874
Fe_4,-0.26487748997727784
Fe_5,-0.29850127037093904
Fe_6,-0.32278260618220145
Cd_1,0.006591777179580894
Cd_2,0.011995568357320687
Cd_3,0.012404825788356251
Cd_4,0.014935887627283434
Cd_5,0.013754045214183162
Cd_6,0.017905230563727437
Zn_1,-0.0013740463140790868
Zn_2,0.0014682753765662966
Zn_3,0.0107062396034099
Zn_4,0.006538659293664485
Zn_5,0.003842786344782471
Zn_6,-0.002573681559173762
Cu_1,0.004658037490100353
Cu_2,0.012394131454883491
Cu_3,0.019168399633979042
Cu_4,0.009785507938178593
Cu_5,0.009248159134485722
Cu_6,0.012363250144654241
Pb_1,0.0046358702125849725
Pb_2,0.014163331509067938
Pb_3,0.022676597807790598
Pb_4,0.029768259356234582
Pb_5,0.03828758886476583
Pb_6,0.039149277324352715
