,yiiP
Cr_1,-0.001545320774224904
Cr_2,-0.002821105060755565
Cr_3,-0.0009130161090334033
Cr_4,0.0007669102971994537
Cr_5,0.003135921947465122
Cr_6,0.0037113792215781156
Fe_1,-0.005649791166268296
Fe_2,-0.019738000791993785
Fe_3,-0.0357724748708447
Fe_4,-0.0553209240110107
Fe_5,-0.06686992595873054
Fe_6,-0.07666887872890532
Cd_1,-0.0017050628858386624
Cd_2,-0.0001574370897251814
Cd_3,0.0004620691375552264
Cd_4,0.0029146304089516803
Cd_5,0.0017037220740539825
Cd_6,0.006537113208226141
Zn_1,-0.0037883193873219367
Zn_2,-0.0019372035809141906
Zn_3,0.004877051753579523
Zn_4,0.01079413136655743
Zn_5,0.017498410019635126
Zn_6,0.02070742707884078
Cu_1,0.001247490645556172
Cu_2,0.003036045853453609
Cu_3,0.002840818266019615
Cu_4,0.005688988091223778
Cu_5,0.008373702858759621
Cu_6,0.013249347820088046
Pb_1,0.008259637674615487
Pb_2,0.015873636631333732
Pb_3,0.02508688119750023
Pb_4,0.0346236420757294
Pb_5,0.04226136269159708
Pb_6,0.054578023792822304
