,-0.04935486276618406,-0.03290324184412271,-0.016451620922061358,-6.938893903907228e-18,0.016451620922061344,0.03290324184412269,0.049354862766184046,0.0658064836882454,0.08225810461030675,0.09870972553236809,0.11516134645442944,0.1316129673764908,0.14806458829855215,0.1645162092206135,0.18096783014267487,0.1974194510647362,0.21387107198679756,0.23032269290885893,0.24677431383092024,0.2632259347529816
thresh,-0.04112905230515338,0.04112905230515338,2,,,,,,,,,,,,,,,,,
unreg,3,21,696,4329,420,40,15,13,7,15,3,0,1,1,1,3,1,0,0,0
AtsR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
unreg_genes,['PA5024' 'PA2173a' 'cysD'],[],[],[],[],[],"['PA0730' 'PA2296' 'PA2059' 'PA2326' 'PA2359' 'PA5102' 'PA2060' 'PA4191'
 'PA2597' 'PA2603' 'PA2599' 'PA3939' 'PA0187' 'trxB2' 'PA2598']","['PA3932' 'PA0848' 'PA2083' 'PA3933' 'oprE' 'PA3287' 'msuE' 'PA2058'
 'PA2595' 'PA2335' 'katB' 'PA2596' 'PA2358']",['PA2050' 'PA2057' 'PA2310' 'PA3449' 'PA2336' 'PA2092' 'PA2589'],"['PA2084' 'PA2590' 'PA2090' 'PA2089' 'PA2087' 'PA2091' 'PA2085' 'PA2309'
 'PA2051' 'PA2088' 'PA2086' 'PA2307' 'PA2093' 'PA2308' 'PA3447']",['PA2094' 'PA3448' 'PA2070'],[],['atsR'],['tonB2'],['exbB1'],['PA0194' 'PA0192' 'exbD1'],['PA0193'],[],[],[]
AtsR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['PA0185'],['atsA' 'PA0184'],[],[],[],[],[]
