,talB
Cr_1,0.00490329626019965
Cr_2,0.012550135199311734
Cr_3,0.017693803936638476
Cr_4,0.018626783308789197
Cr_5,0.012492325357023984
Cr_6,0.005250693329951281
Fe_1,-0.002696692563022514
Fe_2,-0.009209303983324577
Fe_3,-0.019983857240122402
Fe_4,-0.03813235938189943
Fe_5,-0.04476994653904992
Fe_6,-0.04107825848853186
Cd_1,-0.0018871488363866983
Cd_2,-0.0014523088748562875
Cd_3,0.04960281390522656
Cd_4,-0.006449535256676429
Cd_5,0.002736132830001411
Cd_6,0.014607427697993497
Zn_1,-0.0023624507770055427
Zn_2,-0.0042642633328553725
Zn_3,0.0021143444466016066
Zn_4,0.017738221359026727
Zn_5,0.03181656223832213
Zn_6,0.04582429310760442
Cu_1,0.0051718419427416356
Cu_2,0.008046157801713714
Cu_3,0.012723377501760415
Cu_4,0.015779978908736333
Cu_5,0.0168180918546574
Cu_6,0.021299250731531064
Pb_1,0.0006386172240073951
Pb_2,0.00445326470055546
Pb_3,0.00692926876200751
Pb_4,0.011280557635542565
Pb_5,0.0270149864390362
Pb_6,0.04481818748174298
