,-0.2699631124615384,-0.22496926038461534,-0.17997540830769226,-0.13498155623076918,-0.0899877041538461,-0.044993852076923024,5.551115123125783e-17,0.044993852076923135,0.08998770415384622,0.1349815562307693,0.17997540830769237,0.22496926038461545,0.26996311246153853,0.3149569645384616,0.3599508166153847,0.4049446686923078,0.44993852076923085,0.49493237284615393,0.539926224923077,0.584920077
thresh,-0.29246003849999996,0.29246003849999996,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,129,5303,138,0,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PA3411'],[],[]
