,A,EvgA
minspan__bw_delcra_trp__1,4.3882653487,0.40260372800000005
minspan__bw_delmntr__1,-1.0624574572,-1.7205150960000002
minspan__bw_delnac_ade__1,-0.084519618,0.53850202
minspan__bw_delnac_glc__1,3.6265209804,0.068173421
cra_crp__wt_ac__1,-0.48592182850000004,0.176714903
cra_crp__wt_ac__2,-0.943943666,-0.006590535000000001
cra_crp__wt_fru__1,0.6792123527,-0.120746873
cra_crp__wt_fru__2,1.0460798158,0.105192408
cra_crp__delcra_ac__1,0.7090260991,-0.642109869
cra_crp__delcra_ac__2,0.4479565777,-0.617196917
cra_crp__delcra_fru__1,3.064663962,-0.46248345100000005
cra_crp__delcra_fru__2,2.6170729845,-0.6819589060000001
cra_crp__delcra_glc__1,1.2195604109,-0.571107487
cra_crp__delcra_glc__2,0.8705307508000001,-0.434743054
rpoB__wt_031__1,1.2668872585,-1.034897124
rpoB__wt_044__1,-0.6567800871,-0.7602089080000001
rpoB__wt_lb__1,-2.1525528557,-1.177176158
rpoB__wt_lb__2,-1.71736603,-1.15598592
rpoB__rpoBE546V_031__1,1.9261026517,-1.782013325
rpoB__rpoBE546V_044__1,0.4430091682,-1.338139982
rpoB__rpoBE546V_lb__1,-1.9736086425,-2.304332501
rpoB__rpoBE546V_lb__2,-0.6794738828,-2.095130474
rpoB__rpoBE546V_glc__1,0.019239779800000002,-0.7617733760000001
rpoB__rpoBE672K_glc__1,-0.564505606,-1.393529409
rpoB__rpoBE672K_glc__2,-0.4158880908,-1.559458275
rpoB__rpoBE672K_lb__1,-1.1710977241,-2.483642199
rpoB__rpoBE672K_lb__2,-0.5172358554,-2.272658148
crp__wt_fru__1,2.0019025168,-0.81852628
crp__wt_glyc__1,1.1157042574,-1.039664825
crp__wt_glyc__2,1.3840295833,-0.856802103
crp__delar1_glyc__1,-0.3290000793,-1.635183878
crp__delar1_glyc__2,-1.0346426441,-1.5338061120000002
crp__delar1ar2_glyc__1,-0.6747966857000001,-1.711096928
crp__delar1ar2_glyc__2,-1.5765518324,-1.872034217
crp__delar1ar2_glyc__3,-0.9327450738,-1.461974421
crp__delar2_glyc__1,0.472757904,-1.226689565
crp__delar2_glyc__2,0.1708215543,-0.9748940070000001
crp__delar2_glyc__3,0.2883788711,-1.15375281
crp__delcrp_fru__1,-1.122814412,-1.724228481
crp__delcrp_fru__2,-1.6091943039,-2.023718116
crp__delcrp_fru__3,0.7850639907,-1.7546807229999999
crp__delcrp_glc__1,-1.9374285123,-2.460487695
crp__delcrp_glc__2,-2.2749030789,-2.311535045
crp__delcrp_glc__3,-1.9073168272,-2.381485867
crp__delcrp_glyc__1,-1.3090460602,-1.797766368
crp__delcrp_glyc__2,-0.7343346509,-2.254775701
crp__delcrp_glyc__3,-0.4192328159,-1.8540250600000001
glu__glu_ale3__1,-1.1707843315,-5.388564069
glu__glu_ale4__1,-0.8473691869000001,-2.726314273
glu__glu_ale5__1,-0.5009614462,-2.676555523
glu__glu_ale6__1,1.7284526827,-1.940337809
glu__glu_ale8__1,-1.8199003768000002,-2.293176798
glu__glu_ale9__1,-2.9392661418,-5.053426162
glu__glu_ale10__1,-2.1367774519,-8.060500858
42c__wt_42c__1,-2.7661328762,-0.432744285
42c__42c_ale1__1,-3.1181769301,-2.588303526
42c__42c_ale2__1,-2.8000990808,-4.805003921
42c__42c_ale3__1,-1.591304712,-1.458201597
42c__42c_ale4__1,-2.3133980511,-6.616143075
42c__42c_ale5__1,-1.6204062259,-5.259781758
42c__42c_ale6__1,-3.0558767731,-3.85247639
42c__42c_ale8__1,-2.8215176096,-3.49895604
42c__42c_ale9__1,-2.1621924982,-1.119593413
42c__42c_ale10__1,-1.5157513721,-5.243837293
ssw__wt_ac__1,0.2414851373,-1.2782388390000001
ssw__wt_glc__1,3.7763101836,1.01441618
ssw__wt_glyc__1,0.5537990762,-0.06422594300000001
ssw__wt_xyl__1,-0.8381113661,1.90964869
ssw__glc_ale1__1,0.9729546101000001,-1.51689399
ssw__glc_ale2__1,0.5888598861000001,-1.4987293780000002
ssw__glc_ale3__1,-1.1418800388,-0.406848694
ssw__glyc_ale1__1,0.20144636800000001,-0.744807102
ssw__glyc_ale2__1,-0.7049295648,-0.057999434
ssw__xyl_ale1__1,0.8270277705,-2.3017102879999998
ssw__xyl_ale2__1,0.118419806,-2.237101675
ssw__xyl_ale3__1,0.0956322458,-1.293605061
ssw__glc_ac_ac2__1,1.8139190936,0.49889414600000004
ssw__glc_ac_glc1__1,0.9256701396,-0.385597976
ssw__glc_glyc_glc__1,2.6329747734,-1.459825713
ssw__glc_glyc_glyc__1,2.2173982822,-2.591674203
ssw__glc_xyl_glc__1,1.184450498,-1.481982441
ssw__glc_xyl_xyl__1,2.4497177844,-0.8871806560000001
ica__wt_glc__1,1.228463542,-1.993440707
ica__wt_glc__2,1.6181345756,-2.089249072
ica__wt_glc__3,0.0807622625,-2.548730155
ica__wt_glc__4,1.3140827943,-1.8340797270000002
ica__arg_sbt__1,2.5424540505,-1.803944081
ica__arg_sbt__2,1.0397730562,-1.367442483
ica__cytd_rib__1,0.6078329826000001,-3.486757499
ica__cytd_rib__2,1.5606616841,-3.368402566
ica__gth__1,1.6209616097000001,-2.661624246
ica__gth__2,1.3363524856,-3.135426912
ica__leu_glcr__1,1.1376038364,-0.773302684
ica__leu_glcr__2,1.3371125721000001,-0.7337419660000001
ica__met_glc__1,1.4839068026,-1.51016411
ica__met_glc__2,1.6983675212,-1.595564518
ica__no3_anaero__1,0.6968944266,-0.21216805800000002
ica__no3_anaero__2,0.3849377128,0.025769906000000002
ica__phe_acgam__1,1.4537898870000001,-1.34415554
ica__phe_acgam__2,1.7774378740999999,-1.24083612
ica__thm_gal__1,1.3629673662,-3.136061696
ica__thm_gal__2,0.7563699133,-3.786932834
ica__tyr_glcn__1,0.8143059627,-1.759365302
ica__tyr_glcn__2,0.6727585836000001,-1.473416362
ica__ura_pyr__1,4.0793440648,-1.155769613
ica__ura_pyr__2,4.9614915379,-0.827811366
