locus,gene_weight,gene_name,gene_product,COG,operon,regulator,rdlD,sokB,link
b4453,0.5381307788,ldrD,small toxic polypeptide LdrD,Function unknown,,rdlD,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9041
b1420,0.1709057447,mokB,putative regulatory protein MokB,No COG annotation,mokB,"sokB,Crp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6736
