,A,RpoS
R2,,0.500065600402989
xmin,,-2.4793139040000005
xmid,,
xmax,,3.139938211880993
ystart,,-37.67495111400796
yend,,17.342430916763007
control__wt_glc__1,0.2497221630344076,-0.049727751000000715
control__wt_glc__2,-0.249722163034454,0.049727751000000715
fur__wt_dpd__1,18.25938287580057,1.6503265020000004
fur__wt_dpd__2,18.741579194864453,1.6437026919999995
fur__wt_fe__1,-1.59808650873183,-0.2294725589999995
fur__wt_fe__2,-1.858327780472801,-0.2717253760000009
fur__delfur_dpd__1,18.403805357082803,1.5271957219999999
fur__delfur_dpd__2,17.014812739407798,1.2385445819999994
fur__delfur_fe2__1,2.042839026966708,0.6013075319999999
fur__delfur_fe2__2,3.095532880448693,0.6226109219999998
acid__wt_ph5__1,6.988541344522532,0.17730274899999898
acid__wt_ph5__2,6.819470238682932,0.18070148099999986
acid__delgadx_ph5__2,5.702404545809181,0.041918445000000304
acid__delgadw_ph5__1,6.639665284365076,0.13294699599999935
acid__delgadw_ph5__2,6.3737185518000254,0.028727889000000676
acid__delgade_ph5__1,6.7310010578095,0.245873005
acid__delgade_ph5__2,6.705111350216664,0.3536770219999994
oxidative__wt_pq__1,16.353196164165226,2.4493267319999994
oxidative__wt_pq__2,15.731604377516051,2.150239471999999
oxidative__deloxyr_pq__1,10.84975461723469,1.9186836320000005
oxidative__deloxyr_pq__2,10.77289145009609,1.8757188320000004
oxidative__delsoxr_pq__1,14.579479472108154,2.1746498119999997
oxidative__delsoxr_pq__2,14.949174359549144,2.132365622
oxidative__delsoxs_pq__1,17.770380671130987,2.4270615719999995
oxidative__delsoxs_pq__2,17.959942095540004,2.475274892
nac_ntrc__wt_csn__1,9.976279316550183,1.849426562
nac_ntrc__wt_csn__2,9.778455277328822,1.8262455620000004
nac_ntrc__wt_cytd__1,7.589935567933114,0.9658633820000002
nac_ntrc__wt_cytd__2,7.290113459786792,0.8995555819999996
nac_ntrc__wt_gln__1,11.829955644552,1.143877011999999
nac_ntrc__wt_gln__2,11.935868032702436,1.201356272
nac_ntrc__bw_delnac_csn__1,8.956467310681171,2.1708239119999995
nac_ntrc__bw_delnac_csn__2,8.373789548215283,2.3634965119999998
nac_ntrc__bw_delnac_cytd__1,6.01308743674042,1.560056101999999
nac_ntrc__bw_delnac_cytd__2,5.916590971718764,1.5728261719999992
nac_ntrc__bw_delnac_gln__1,10.274123850237428,1.4617363419999998
nac_ntrc__bw_delnac_gln__2,10.246344413965314,1.4067977519999992
nac_ntrc__bw_delnac_nh4__1,-5.601244580573451,0.3601772620000005
