,ykfI
Cr_1,-0.02680359938577153
Cr_2,0.21573744957188515
Cr_3,0.517552289815549
Cr_4,0.5467197572208724
Cr_5,0.6298097545794847
Cr_6,0.6730012023978412
Fe_1,-0.02091602386563968
Fe_2,-0.06255148667038105
Fe_3,-0.05190131580380235
Fe_4,-0.013938688464040365
Fe_5,0.20974928743139434
Fe_6,0.3226462537902816
Cd_1,-0.03079009397419665
Cd_2,-0.02235358960226452
Cd_3,0.26861528876842833
Cd_4,0.03832226688243735
Cd_5,0.16944035891444126
Cd_6,0.1839505649683574
Zn_1,-0.0004127201089054768
Zn_2,0.01876227826296313
Zn_3,0.05078526836087915
Zn_4,0.04833554527754574
Zn_5,0.049594453966668235
Zn_6,0.07889278505130197
Cu_1,0.025854322543875645
Cu_2,-0.005257661249936097
Cu_3,-0.041828223789214775
Cu_4,-0.047121116285871
Cu_5,-0.07719255792941544
Cu_6,-0.04448954570407648
Pb_1,-0.007989909516866211
Pb_2,-0.08716183385445253
Pb_3,-0.059093393252438724
Pb_4,-0.04285652506666727
Pb_5,-0.037885308074712784
Pb_6,-0.03369073118542923
