,A,CsqR
R2,,0.3923000542213777
xmin,,-3.4165380972
xmid,,0.9714854244890436
xmax,,4.897041648
ystart,,0.6215318128195104
yend,,33.105021066275754
aat__00m_00s__1,1.9990830518,-0.1825887879
aat__00m_30s__1,0.4450258434,0.0373251764
aat__01m_00s__1,-0.40968403210000004,0.2354981055
aat__02m_00s__1,0.8264270828,-0.0323020485
aat__05m_00s__1,-0.5875521684,-0.1854732802
aat__10m_00s__1,-1.0047606992,-0.1661852324
aat__00m_00s__2,-1.2742630314,0.3056455899
aat__00m_30s__2,-1.583193553,0.2007045856
aat__01m_00s__2,0.28406335120000004,-0.10052248670000001
aat__02m_00s__2,-0.5007369572,-0.23400347400000002
aat__05m_00s__2,-0.5998388286,-0.2310473887
aat__10m_00s__2,1.0239127238,0.0332469815
aat__00m_00s__3,-0.7248200204,-0.123056802
aat__00m_30s__3,0.2802661034,0.0393559505
aat__01m_00s__3,0.0485588319,0.0275336592
aat__02m_00s__3,-0.6128179916000001,-0.1223840634
aat__05m_00s__3,0.5829275004000001,0.1480315362
aat__10m_00s__3,0.8511369360000001,-0.0780184537
abx_mega__dmso-2__1,1.2363277069,0.2038147303
abx_mega__ery_dmso__1,0.7295031127,-0.514186617
abx_mega__nal_naoh__1,2.5185519752000003,0.4061867644
abx_mega__dmso-5__1,1.3671280974,-0.1351451443
abx_mega__rif_dmso__1,5.0041090483,0.1554767549
abx_mega__novo_h2o__1,3.166487212,-2.459709034
abx_mega__rach_dmso__1,0.2435565358,0.3476346662
abx_mega__metro_dmso__1,0.23626878,-0.0681151722
abx_mega__dmso-6__1,-0.3653609472,-0.2025868714
abx_mega__chl_h2o__1,1.1637374306,-0.1569212614
abx_mega__cst_h2o__1,0.2302673004,0.4390012486
abx_mega__tec_h2o__1,1.1172018391,-0.028206873900000002
abx_mega__str_h2o__1,1.4307710927000001,-0.1038914586
abx_mega__ctx_h2o__1,0.7828773444,0.8721808866
abx_mega__nal_naoh__2,0.9881564544,0.2335241424
abx_mega__phos_h2o__1,-0.431402787,0.5284260801
abx_mega__dmso-5__2,0.8406807599,0.1147521554
abx_mega__polmyx_h2o__1,-0.6349407639,0.7019384877
abx_mega__h2o-8b__1,0.7040666217,0.3855677491
abx_mega__h2o-6__1,-0.2949589528,-0.19369961200000002
abx_mega__thio_dmso__1,0.4471349023,-0.1534065331
abx_mega__phos_h2o__2,-0.1828009596,0.4921642986
abx_mega__ctx_h2o__2,-1.9967989887000002,0.2954270274
abx_mega__lzd_dmso__1,0.8894371072,-0.4203291764
abx_mega__naoh-9__1,-0.2333514058,0.5797283689
abx_mega__dox_dmso__1,-0.20473303080000002,-0.2057817278
abx_mega__phos_ethanol__1,-1.2883243307,-0.059848275000000006
abx_mega__teix_dmso__1,0.3594090679,-0.1273162686
abx_mega__dmso-10__1,0.35137433500000004,0.4191250754
abx_mega__van_dmso__1,1.1241109312,0.7079714125000001
abx_mega__ramo_h2o__1,-0.1376309556,0.2790693758
abx_mega__tec_h2o__2,-0.5178867395,0.0205786724
abx_mega__h2o-7__1,0.7188670395,0.2353743942
abx_mega__cro_h2o__1,0.300926874,0.8035450517
