,htrA
Cr_1,0.008655596140945535
Cr_2,0.02077407747887855
Cr_3,0.03419155033523632
Cr_4,0.0448289374047872
Cr_5,0.05821317805288896
Cr_6,0.07148320648373233
Fe_1,-0.0069544104877661
Fe_2,0.001653418631926466
Fe_3,0.017633842189291
Fe_4,0.029843142585175564
Fe_5,0.0416440436812941
Fe_6,0.046240773681067215
Cd_1,0.007273338018270427
Cd_2,0.014108130850332716
Cd_3,0.023258851827636044
Cd_4,0.031883014108755
Cd_5,0.03491542393614635
Cd_6,0.041942797390465685
Zn_1,0.001134029394406853
Zn_2,0.003746315610540229
Zn_3,0.0012852545388927306
Zn_4,-0.002714464966138137
Zn_5,-0.011624680510856866
Zn_6,-0.019015854752987383
Cu_1,0.0020777966728073877
Cu_2,0.0010140952136130851
Cu_3,0.007333128319021575
Cu_4,0.007455870042598535
Cu_5,0.005378372554686617
Cu_6,0.006546681852826663
Pb_1,-7.961012191462758e-05
Pb_2,0.002040897016842513
Pb_3,0.009026786247762
Pb_4,0.016777551977593654
Pb_5,0.025381180173636858
Pb_6,0.03682527951059567
