,A,flhD
R2,,0.4301638377542206
xmin,,-7.0720007684
xmid,,-0.3129362137890142
xmax,,3.5625693591000003
ystart,,-4.348851423417696
yend,,27.06182406797417
aat__00m_00s__1,-1.9854160478,-0.0382576976
aat__00m_30s__1,-1.5028215267,-0.2732545799
aat__01m_00s__1,-1.5435614367000001,-0.8198496909
aat__02m_00s__1,-1.6128025489,-1.0585565025
aat__05m_00s__1,-1.5166517158000001,-1.1270911982
aat__10m_00s__1,-2.2930160889,-1.3640907807
aat__00m_00s__2,-0.8535217708,-0.0877372101
aat__00m_30s__2,-1.2617028703,-0.3183074932
aat__01m_00s__2,-2.0881329013,-1.5097918652
aat__02m_00s__2,-2.4661207224,-1.6680735503
aat__05m_00s__2,-3.1785437486,-1.8356164874
aat__10m_00s__2,-5.6173292777,-2.3199326431
aat__00m_00s__3,2.8389378186,0.1259949077
aat__00m_30s__3,2.1270907414,0.0340542969
aat__01m_00s__3,2.2107463356,-0.4242191301
aat__02m_00s__3,2.0400313068,-0.9449499442
aat__05m_00s__3,0.36427550280000004,-1.2000456048
aat__10m_00s__3,-0.8929143587,-1.7127137974000002
abx_mega__dmso-2__1,4.299004288,-0.9255071151
abx_mega__ery_dmso__1,-2.8753958894,-0.7657864959
abx_mega__nal_naoh__1,3.0596956652,-2.4365460475000003
abx_mega__dmso-5__1,1.157928604,0.0226470931
abx_mega__rif_dmso__1,-5.1412749408,-0.0072364669
abx_mega__novo_h2o__1,0.2120822061,-4.3584411613
abx_mega__rach_dmso__1,1.9266283359,0.7017636168
abx_mega__metro_dmso__1,0.2648156662,-0.2450918176
abx_mega__dmso-6__1,2.8359254888,-0.0339004138
abx_mega__chl_h2o__1,-5.8686773637,-1.7914813412
abx_mega__cst_h2o__1,1.3677025866,0.47528773360000004
abx_mega__tec_h2o__1,-1.8115477616,-6.3287632435
abx_mega__str_h2o__1,2.6929416811999998,-2.0025559367
abx_mega__ctx_h2o__1,2.0775386928,0.8020303577
abx_mega__nal_naoh__2,1.3905594890000001,-0.1760221155
abx_mega__phos_h2o__1,0.7360449494,-1.2812287982
abx_mega__dmso-5__2,0.0048507762,-0.047958574100000005
abx_mega__polmyx_h2o__1,2.2138112847,0.06273733840000001
abx_mega__h2o-8b__1,1.7021624959000001,0.040339321000000004
abx_mega__h2o-6__1,2.3506316483,0.2604155429
abx_mega__thio_dmso__1,1.8635845621,0.4108135992
abx_mega__phos_h2o__2,2.1295642092,-0.410395599
abx_mega__ctx_h2o__2,4.8957253765,-0.3351232118
abx_mega__lzd_dmso__1,-1.5313381204,0.7158480443
abx_mega__naoh-9__1,2.0110712912,0.4134592559
abx_mega__dox_dmso__1,2.7135934972999998,1.5692669112000002
abx_mega__phos_ethanol__1,1.3169464583,0.6637785565000001
abx_mega__teix_dmso__1,2.8122161083,-3.1494975245
abx_mega__dmso-10__1,1.8565424303,0.4066258869
abx_mega__van_dmso__1,-9.0882377368,-1.2742907023
abx_mega__ramo_h2o__1,0.2908628733,-0.6859030291
abx_mega__tec_h2o__2,-4.4426081752,-3.4972278364
abx_mega__h2o-7__1,2.8159872085,-0.0243372955
abx_mega__cro_h2o__1,4.1799203795,0.052015979600000005
abx_mega__tric_ethanol__1,-2.0075558782,-0.6678377496
abx_mega__nor_naoh__1,1.0148436817,-0.2088230942
abx_mega__teix_dmso__2,0.5908858859,-0.3703726289
abx_mega__nal_naoh__3,0.9059385592,-0.0336465175
abx_mega__novo_h2o__2,-0.3073528658,-3.6555873421
abx_mega__dmso-10__2,2.3979276947,0.41571797380000003
abx_mega__phos_h2o__3,2.0023755941,0.040740959
abx_mega__dmso-6__2,1.1783095968,0.4771166754
abx_mega__rfp_ethanol__1,-10.2428573841,0.2040171285
abx_mega__dmso-5__3,1.3320668434,-0.3127311225
abx_mega__amyc-d_dmso__1,-11.0560796953,-0.6723734014
abx_mega__sxt_dmso__1,2.2292287687,0.45815496310000003
abx_mega__dmso-1__1,0.1681401189,-0.19542334520000001
abx_mega__pen_h2o__1,-0.2945758359,0.2662724112
abx_mega__dmso-10__3,2.9091305356,0.5706940822000001
abx_mega__nal_naoh__4,0.9080695870000001,0.023803539300000003
abx_mega__cip_naoh__1,1.7852304775,0.1789866654
abx_mega__pen_h2o__2,-0.46210805390000004,-0.1519309597
abx_mega__ery_dmso__2,-5.090909378,-0.441945124
abx_mega__dmso-2__2,2.921920181,-2.609172495
abx_mega__van_dmso__2,-9.1062584769,-1.8530520526
abx_mega__h2o-1b__1,0.08039098780000001,-0.1542357583
abx_mega__ery_h2o__1,-2.4652610068,0.7147943751
abx_mega__bacit_h2o__1,0.07587040490000001,-3.5635347109
abx_mega__chl_h2o__2,-5.8482174468,-0.0843130528
abx_mega__str_h2o__2,2.6267450142,-2.0724436972999998
abx_mega__rfp_ethanol__2,-8.717634334,0.143207821
abx_mega__polmyx_h2o__2,1.6083405199,0.024322288900000003
abx_mega__tric_h2o__1,-5.0376376736,0.5472886571
abx_mega__cip_naoh__2,1.2719957368,-0.1387724002
abx_mega__novo_h2o__3,0.7137617745,-2.5939861389
abx_mega__bacit_dmso__1,-0.1238405863,0.0282411685
abx_mega__gen_h2o__1,-6.3985391623,-2.8463544232
abx_mega__bacit_dmso__2,-1.7660902606,-0.0053740682
abx_mega__chl_dmso__1,-6.4956893197,-2.0607787793
abx_mega__bacit_h2o__2,-1.5552161768000001,-3.1172038726
abx_mega__lvx_dmso__1,0.9687826939,0.2688373166
abx_mega__bacit_h2o__3,-0.5402292766,-2.9197543414
abx_mega__nor_naoh__2,0.6766809505,-0.1768880331
abx_mega__amyc-d_dmso__2,-6.8841487548,0.2146100155
abx_mega__polmyx_h2o__3,4.9720693357,-2.3126405164
abx_mega__naoh-6__1,1.9588670006000002,-0.0479811407
abx_mega__cst_h2o__2,-1.3662109139,0.1824769202
