,ygjD
Cr_1,-0.002753398808032386
Cr_2,-0.004216005953825744
Cr_3,-0.008833244144696701
Cr_4,-0.01160887751161632
Cr_5,-0.012015875053699986
Cr_6,-0.012624537933635237
Fe_1,-0.00580257063033435
Fe_2,-0.02257122742995941
Fe_3,-0.04355772209100494
Fe_4,-0.06573966452631108
Fe_5,-0.07814123250229052
Fe_6,-0.0871944660849706
Cd_1,0.00170989128143397
Cd_2,0.003934381239436389
Cd_3,0.0069880939234811135
Cd_4,0.008746184730862529
Cd_5,0.006198976779243234
Cd_6,0.008827955968150265
Zn_1,-0.003803980526069323
Zn_2,-0.012028627890440732
Zn_3,-0.01294845963348255
Zn_4,-0.015716367548676898
Zn_5,-0.014692005324527191
Zn_6,-0.01635631936178403
Cu_1,0.002993894984058115
Cu_2,0.0063008198265557345
Cu_3,0.005707584946404535
Cu_4,0.005367595033184821
Cu_5,0.00935246927691574
Cu_6,0.014643702263002191
Pb_1,0.001103500975062173
Pb_2,0.0045985266267522295
Pb_3,0.007099960602703156
Pb_4,0.008869638879006471
Pb_5,0.013396808048006784
Pb_6,0.018614598363361524
