gene_id,USA300HOU_RS12095
name,rplR
operon,"adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW"
product,50S ribosomal protein L18
cog,"Translation, ribosomal structure and biogenesis"
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN005686000"">AureoWiki</a>"
