,A,gcvA
R2,,0.016209766034323336
xmin,,4.45078086683179
xmid,,
xmax,,6.937395880676581
ystart,,-0.8231278749589186
yend,,-3.007684210317788
control__wt_glc__1,-0.426534893233,5.72915403409765
control__wt_glc__2,0.426534893233,5.90465318986462
fur__wt_dpd__1,-6.56969117889,5.74134108213029
fur__wt_dpd__2,-5.96116290732,5.50353280697687
fur__wt_fe__1,1.57149176535,5.646748578271411
fur__wt_fe__2,0.723255594234,5.59357171090179
fur__delfur_dpd__1,-4.116177824369999,5.57839034888492
fur__delfur_dpd__2,-2.83192638699,5.2505636950177
fur__delfur_fe2__1,-0.020257182557900003,5.538416222038689
fur__delfur_fe2__2,-0.516020960106,5.7821116745398
acid__wt_ph5__1,-0.75711022175,5.903522272630481
acid__wt_ph5__2,-0.121765915957,5.82038623435704
acid__delgadx_ph5__1,-0.319998895942,6.14948485116951
acid__delgadx_ph5__2,-0.439517712782,5.6326481758448805
acid__delgadw_ph5__1,0.259461047222,5.468872260915741
acid__delgadw_ph5__2,-0.272589728474,5.942973439792429
acid__delgade_ph5__1,0.0126173055999,6.105638433705259
acid__delgade_ph5__2,0.37304258402699997,5.965878451137481
oxidative__wt_pq__1,-3.3928144492400003,4.85508101171699
oxidative__wt_pq__2,-3.37126029889,4.98940123319038
oxidative__deloxyr_pq__1,-5.502037988550001,5.126098339098251
oxidative__deloxyr_pq__2,-5.68305788923,5.023291052615019
oxidative__delsoxr_pq__1,-4.17782829697,4.45078086683179
oxidative__delsoxr_pq__2,-3.8406738231,4.775726463430121
oxidative__delsoxs_pq__1,-4.547284651530001,4.603427283520469
oxidative__delsoxs_pq__2,-4.79765132705,4.83969745503732
nac_ntrc__wt_csn__1,-2.68230609247,5.8951679249446
nac_ntrc__wt_csn__2,-2.3157551532099996,5.82532733175643
nac_ntrc__wt_cytd__1,-1.27228036539,5.66676848006341
nac_ntrc__wt_cytd__2,-1.408198377,5.7168737261238896
nac_ntrc__wt_gln__1,-1.5785658821200002,5.8843163637734195
nac_ntrc__wt_gln__2,-1.50466503645,5.56599091124256
nac_ntrc__bw_delnac_csn__1,-3.31308125773,6.18003225286755
nac_ntrc__bw_delnac_csn__2,-3.38622103823,5.8746899363342
nac_ntrc__bw_delnac_cytd__1,-1.8076469402400002,6.25868222326239
nac_ntrc__bw_delnac_cytd__2,-1.6026449835299998,5.975192130081309
nac_ntrc__bw_delnac_gln__1,-1.6417538287200002,6.2768601247128295
nac_ntrc__bw_delnac_gln__2,-1.67876889389,6.327188057201999
nac_ntrc__bw_delnac_nh4__1,-1.21234717662,5.869884222106499
nac_ntrc__bw_delnac_nh4__2,-1.1759525466399998,5.74221727827635
misc__wt_no_te__1,-2.21785823737,5.85176689126652
misc__wt_no_te__2,-0.712594631691,5.735788536788019
misc__bw_delcbl__1,0.12285061663499999,5.33102299895853
misc__bw_delcbl__2,-0.202502286571,5.38208109226076
misc__bw_delfabr__1,0.20260629305,5.2356753324052105
misc__bw_delfabr__2,0.205870059498,5.4471779083691905
misc__bw_delfadr__1,-1.3959748050100003,5.2845055912804595
misc__bw_delfadr__2,-0.9011562795110001,5.40317300301021
misc__nitr_031__1,-1.8740820916,6.05169095071859
omics__wt_glu__1,-1.0158895648100001,6.68017176565538
omics__wt_glu__2,0.260297347883,6.4102268200790595
omics__wt_gly__1,9.14449981604,6.29530481547802
omics__wt_gly__2,8.7112443564,6.51133346536997
omics__wt_thr__1,2.75368123293,6.34205997852726
omics__wt_thr__2,2.6575817163999997,6.44905247378083
omics__bw_ac__1,-2.8388758090400006,5.9667553597505
omics__bw_ac__2,-3.5406128812300004,5.982606146064941
omics__bw_fum__1,-1.68040812437,6.01281028486942
omics__bw_fum__2,-1.8049774294499998,5.86590595952641
omics__bw_glc__1,-0.963682512833,6.46616259528533
omics__bw_glc__2,-1.11919114619,6.305926240690121
omics__bw_pyr__1,-2.1550534495400004,6.17681109225498
omics__bw_pyr__2,-2.34367263991,6.25032981149695
ompr__wt_nacl__1,-5.01204519108,5.27831498690451
ompr__wt_nacl__2,-5.17121780874,5.287721674390871
ompr__bw_delompr_nacl__1,-6.459317489430001,5.98728830606838
ompr__bw_delompr_nacl__2,-7.112124198610001,5.841232549340451
minspan__wt_ade__1,-5.71272263243,6.27942088588969
