,intF
Cr_1,-0.007528732969196102
Cr_2,-0.006081797085558237
Cr_3,0.0037387601516198038
Cr_4,0.00977868528574526
Cr_5,0.019040746919605014
Cr_6,0.019895742497352282
Fe_1,-0.04863856489699797
Fe_2,-0.06024722583273057
Fe_3,-0.03061138880799327
Fe_4,0.003172276168663272
Fe_5,0.046038960016097134
Fe_6,0.05557072954368603
Cd_1,-0.009383114056348908
Cd_2,0.011305135426232876
Cd_3,0.028664187486511162
Cd_4,0.03992829358348396
Cd_5,0.04060969546249723
Cd_6,0.04527135816727953
Zn_1,-0.013764780248856046
Zn_2,-0.02056824813370381
Zn_3,-0.01326577297858526
Zn_4,0.007648455362726333
Zn_5,0.04351599586643344
Zn_6,0.08462713764044992
Cu_1,-0.005909922921627477
Cu_2,-0.006557604185275043
Cu_3,0.011079675999494613
Cu_4,0.02062620842403148
Cu_5,0.02105305183842573
Cu_6,0.023284950436160263
Pb_1,-0.005862765461754589
Pb_2,0.002348650401134805
Pb_3,0.007158308242363639
Pb_4,0.01406168335541969
Pb_5,0.021880202181646016
Pb_6,0.031958896018555887
