,uhpT
Cr_1,0.012567209199227098
Cr_2,0.027865317519554917
Cr_3,0.051559333925168135
Cr_4,0.07525766280594305
Cr_5,0.10587046498462932
Cr_6,0.13344473336949975
Fe_1,-0.001955922253954323
Fe_2,0.08911832562240088
Fe_3,0.21293310718883213
Fe_4,0.28963733442413675
Fe_5,0.3434304946299757
Fe_6,0.37011898519466907
Cd_1,0.001453087233393552
Cd_2,0.009741733620170777
Cd_3,0.023686969530498942
Cd_4,0.03783391870595157
Cd_5,0.04583182338255504
Cd_6,0.05290475763355347
Zn_1,-0.03194194744332738
Zn_2,-0.01714200895370591
Zn_3,0.01702718009262929
Zn_4,0.032188788854012135
Zn_5,0.01727579709413419
Zn_6,-0.02384212640011069
Cu_1,-0.00017970557079795374
Cu_2,0.014407846320271213
Cu_3,0.04198469876568724
Cu_4,0.07052178240371279
Cu_5,0.10135500350166952
Cu_6,0.1238405590325325
Pb_1,0.002391533560392172
Pb_2,0.013817345201927386
Pb_3,0.03770407886147782
Pb_4,0.04945454668999187
Pb_5,0.05642994292541882
Pb_6,0.06252560015843206
