,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,ALE__GalactoseA5,-0.08760524900000095,0.01092023893059386,2.0,0.0,-0.0798834740000007,1.0,-0.0953270240000012,,,,
1,ALE__GalactoseA6,-0.9899911165000006,0.051896089072180865,2.0,2.0,-0.9532950400000004,3.0,-1.0266871930000008,,,,
2,ALE__GalactoseA8,-0.6818986580000006,0.21076054277109715,2.0,4.0,-0.5328684490000004,5.0,-0.8309288670000008,,,,
3,ALE__IL_Control,-8.743006318923108e-16,0.40502231591004567,4.0,6.0,0.1910913059999988,7.0,0.4670990759999984,8.0,-0.2270547440000001,9.0,-0.4311356380000006
4,ALE__IL_TEOH_OAc,-0.22788504150000044,0.7390306830647346,2.0,10.0,-0.7504586490000005,11.0,0.2946885659999996,,,,
5,ALE__IL_TEA_HS,0.20901983599999951,0.2580661716944532,2.0,12.0,0.0265394959999998,13.0,0.3915001759999992,,,,
6,ALE__IL_Mixed,0.32236440599999927,0.036427595782317766,2.0,14.0,0.2966062059999999,15.0,0.3481226059999986,,,,
7,ALE__IL_PP5350,-1.3908682730000006,0.05836322617462354,2.0,16.0,-1.34959924,17.0,-1.432137306000001,,,,
8,ALE__IL_T8,-0.631886681500001,0.0878275942931679,2.0,18.0,-0.5697831940000011,19.0,-0.693990169000001,,,,
9,ALE__IL_T9,-0.44213116850000134,0.0012448027984159314,2.0,20.0,-0.4430113770000012,21.0,-0.4412509600000014,,,,
10,ALE__IL_Control2,-0.7191149700000006,0.17687917628243383,2.0,22.0,-0.8441874350000003,23.0,-0.5940425050000009,,,,
11,ALE__IL_Glc+Ace,-0.41094683750000005,0.032668356625342176,2.0,24.0,-0.434046854,25.0,-0.3878468210000001,,,,
12,ALE__XyloseA1,-0.7107246640000007,0.08979638534006536,2.0,26.0,-0.7742202970000012,27.0,-0.6472290310000002,,,,
13,ALE__XyloseA2,-0.844790928500001,0.2486213669242421,2.0,28.0,-1.0205927830000014,29.0,-0.6689890740000006,,,,
14,ALE__XyloseA3,-0.3405318735000007,0.1027394609030552,2.0,30.0,-0.4131796430000012,31.0,-0.2678841040000002,,,,
15,ALE__XyloseA4,-0.8193686120000008,0.1245114788070068,2.0,32.0,-0.7313257010000012,33.0,-0.9074115230000004,,,,
16,Aromatic__Coumarate,0.9174267136666673,0.2896346660967163,3.0,34.0,1.2436298200000009,35.0,0.8182148300000005,36.0,0.6904354910000006,,
17,Aromatic__Coumarate+ferulate,0.42704011099999956,0.055483902745218444,3.0,37.0,0.3869013169999995,38.0,0.4038646079999992,39.0,0.4903544079999999,,
18,Aromatic__Ferulate,0.19640775333333294,0.07574578371942098,3.0,40.0,0.1808996989999993,41.0,0.2787073969999998,42.0,0.1296161639999997,,
