,clpP
Cr_1,-0.009838149837330971
Cr_2,-0.016999767259961142
Cr_3,-0.017058270727689364
Cr_4,-0.022949515609827442
Cr_5,-0.02816751876086845
Cr_6,-0.033081006392864064
Fe_1,-0.06203593774733795
Fe_2,-0.11582437984325833
Fe_3,-0.1514979922382269
Fe_4,-0.1729150008339625
Fe_5,-0.1947076884177453
Fe_6,-0.20358042068828405
Cd_1,0.005403088759881605
Cd_2,0.014436494252711091
Cd_3,0.01832509121611741
Cd_4,0.02271016290289165
Cd_5,0.02129195439281425
Cd_6,0.026854841477054168
Zn_1,0.0006969911417305344
Zn_2,0.007527509704851131
Zn_3,0.024306201205071702
Zn_4,0.0458764700607684
Zn_5,0.058707452399604225
Zn_6,0.07432226156124344
Cu_1,0.0007260930086691227
Cu_2,0.005709977190800913
Cu_3,0.0045743522673894026
Cu_4,0.010176378519315831
Cu_5,0.017686518819201198
Cu_6,0.028634645381043895
Pb_1,-0.00025747822535714414
Pb_2,-0.0018297391792839843
Pb_3,-0.004356831263878277
Pb_4,-0.003099234519802275
Pb_5,-0.004257126344766185
Pb_6,-0.0017287212180420086
