,ybiV
Cr_1,0.0031476892192595393
Cr_2,0.006811794530025749
Cr_3,0.01118772580905379
Cr_4,0.0199501228068492
Cr_5,0.03213744277388123
Cr_6,0.04374853212007096
Fe_1,-0.007298081653591984
Fe_2,-0.017624283601670364
Fe_3,-0.021416040264760763
Fe_4,-0.020158881761418092
Fe_5,-0.01314147539966221
Fe_6,-0.011456308711326873
Cd_1,0.002063291771596987
Cd_2,0.005617545042812761
Cd_3,0.010030832897955878
Cd_4,0.013931181121308428
Cd_5,0.013943189098887785
Cd_6,0.019247934667974042
Zn_1,-0.008704791318362073
Zn_2,-0.0023961590477959986
Zn_3,0.0189402228821772
Zn_4,0.041282423393428976
Zn_5,0.0552834406190902
Zn_6,0.06268345898909787
Cu_1,-0.0040395874704007685
Cu_2,-0.006857372613757804
Cu_3,-0.006033167126381757
Cu_4,-0.003311797279094457
Cu_5,0.002084385216885732
Cu_6,0.00789469236699844
Pb_1,0.004827557951886932
Pb_2,0.007288227606153477
Pb_3,0.01119271766222828
Pb_4,0.016523215130719176
Pb_5,0.02180546962875704
Pb_6,0.032924902696488165
