,sodC
Cr_1,0.004618468768177124
Cr_2,0.01340017286509182
Cr_3,0.016515298353566042
Cr_4,0.02452214777631093
Cr_5,0.03513593469908608
Cr_6,0.0459660547491688
Fe_1,-0.018876097172466157
Fe_2,-0.07414751441142416
Fe_3,-0.15381753853348498
Fe_4,-0.2680459323575988
Fe_5,-0.3840354139223847
Fe_6,-0.490501730250631
Cd_1,-0.0017648221058417875
Cd_2,-0.0021588570744029106
Cd_3,-0.0046838777253115325
Cd_4,-0.003155537725949391
Cd_5,-0.006420572838021876
Cd_6,-0.006633487606681944
Zn_1,-0.012063780176692246
Zn_2,-0.13844903389040247
Zn_3,-0.17409092815416055
Zn_4,-0.1858111172234176
Zn_5,-0.17727033586206978
Zn_6,-0.15836500110284293
Cu_1,-0.0027294973826863657
Cu_2,0.0011321979674777866
Cu_3,0.011717653820086259
Cu_4,0.014307991393932774
Cu_5,0.017335461091866736
Cu_6,0.026446010919795284
Pb_1,0.004237497615007421
Pb_2,0.015547966910924724
Pb_3,0.035682094760334834
Pb_4,0.04656735559686063
Pb_5,0.06022816835001294
Pb_6,0.0754094143300199
