,A,TtdR,Fnr
R2,,0.7140356369491826,0.2517273924575607
xmin,,-6.4700505344,-7.8525940196
xmid,,-2.3482328971083173,-1.716429076649
xmax,,6.1220286395,4.4171410107
ystart,,-8.296433209945583,8.729418401078025
yend,,24.473088716720234,-22.042195310889735
SRX1125282,-1.0792133396,-0.1563170032,-0.0825740115
SRX1125283,0.3221901814,-1.0921966873,0.16485310350000001
SRX1125284,-1.2556662361,-1.3454396037,0.7752711503
SRX1125285,-4.7861164421,-1.3549223242,0.9066270852
SRX1125286,-7.1069902641,-1.6248524502000001,0.95171602
SRX1125287,-9.8054881161,-1.3141159912,1.0192587317
SRX1125288,0.5926972844,-0.050520623300000005,0.1234264677
SRX1125289,-0.2869528899,-2.0566229073,0.4334180231
SRX1125290,-2.9852302181,-1.4754890905,0.7979562918
SRX1125291,-5.6243358764,-1.9128603059,0.8964971719
SRX1125292,-7.6564822292,-1.6849554025,0.9047534472000001
SRX1125293,-8.9296045606,-0.9268901358,0.9185125141
SRX1125294,0.4865160552,0.2068376265,-0.040852456200000005
SRX1125295,0.5157443423,-0.5561749869,0.2208704434
SRX1125296,-0.634772593,-1.2984580437,0.7920547098
SRX1125297,-4.5014813154999995,-1.3218623922,0.8818752216
SRX1125298,-6.917162341,-1.2232817638,0.9825066807
SRX1125299,-8.7564448667,-0.9482203973000001,0.9444446514
SRX5694250,-1.3257732378,0.632634625,0.0403637158
SRX5694251,-6.7121733794,-2.6169247704,0.5459244040000001
SRX5694252,-1.2039113571,-0.7313283739,-0.6791990309
SRX5694253,-0.4302497769,0.4301740913,0.0078028844000000005
SRX5694254,-1.5737452323999999,0.8195640471000001,-1.3129271236
SRX5694255,-5.9420575278,-1.9370057883,0.20689053170000002
SRX5694256,0.4268563801,-0.7135766737,-0.045048951000000004
SRX5694257,-3.6382902122000003,-1.4859019353,0.4656249649
SRX5694258,-0.1727773777,0.9184141876,-0.3784852643
SRX5694259,-10.1117225442,-3.7376556608,0.3019332691
SRX5694260,0.5778447402,0.37135514280000004,0.0320312785
SRX5694261,-6.3348036822000005,-3.3291745766,-2.6112045671
SRX5694262,-1.9441608965000001,-0.7985119981000001,0.2482154852
SRX5694263,0.08482675440000001,0.0200128901,0.0230880885
SRX5694264,-0.31991079310000003,-0.7746540317,0.3075812793
SRX5694265,1.2494663628,0.1693671767,-0.7038356709
SRX5694267,-1.0796965909,0.2901486534,-0.2244639849
SRX5694268,0.4099539204,-0.3548650947,0.32801548280000004
SRX5694269,0.2368317962,0.6947444733,-0.0363903054
SRX5694271,0.0038977812,0.0178021733,0.1539794799
SRX5694273,-0.0106047992,-1.2635571516,-0.315089026
SRX5694274,0.6737354673,0.5634755628,-0.19593564700000002
SRX5694275,1.3869650775,-0.4698878621,0.1826918599
SRX5694276,-3.4043189166,-2.7806488667,0.6125076868
SRX5694277,-0.4013998735,-0.2962663108,0.518483773
SRX5694278,-2.7299617687,-1.8927573604,0.6077452839
SRX5694279,0.7634131277,0.21619987540000002,0.7489705412000001
SRX5694280,-3.683990961,-1.0188333252,-1.2905505804000001
SRX5694281,0.5701767923000001,0.7237792142,0.4743514224
SRX5694282,-2.9078952474,-3.3258740706,0.8302627999000001
SRX5694283,-1.8146381517,-0.9327173054000001,-0.8002749045
SRX5694284,-2.5114014521,-2.829088578,-1.6551107114999999
SRX5694285,2.2765479601,0.5868309727000001,0.21844817860000001
SRX5694286,1.8573299759,0.4798545134,0.0879280571
SRX5694287,-2.1046250865,-0.9405855009,0.8900785727
SRX5694288,-0.9191356864,-0.6282466168,-0.0313845657
SRX5694289,-0.0738610411,0.25026279,-0.4150383489
SRX5694290,-0.10826647710000001,-0.5665658692000001,0.2272209504
SRX5694291,-5.2018121282,-2.126709444,0.16806743940000002
SRX5694292,0.2470433675,0.26863228170000003,0.40832126950000003
SRX5694293,0.0857874004,0.15923989600000002,0.0877333852
SRX5694294,-0.8371223645,0.5094457416,-0.1654402185
SRX5694295,-6.5003653718,-6.4700505344,-0.12067474560000001
SRX5694296,-1.1535152843,0.3945049142,0.1613415464
SRX5694297,-1.1702782905,-1.3912879999999999,0.257224454
SRX5694298,1.724756738,0.5363733673000001,0.047755995
SRX5694299,0.5480380469,-0.191891252,-0.1308553567
SRX5694300,0.0201118354,-0.8735190608000001,-0.3609283863
SRX5694301,-0.0743742164,0.4430961312,0.20815252
SRX5694302,-1.0535388484000001,-0.660758959,0.0028938907
SRX5694303,-0.2460519095,-0.7737461758,0.11078089020000001
SRX5694304,-0.5130853429,-0.5541190687,-0.2836689398
SRX5694305,-6.8351493441999995,-1.945317262,0.0804674744
SRX5694306,-1.6966644862,0.2705113064,-0.2221077391
SRX5694307,0.24539092240000002,-1.9364854820000001,0.6605546913
SRX5694308,0.5898219628,-1.2555422161,0.030807355300000002
SRX5694309,-2.9636710309,-3.1835185075,0.1635488437
SRX5694310,-13.4421742275,-6.0044533291,-0.4774994905
SRX5694311,-4.7309640131,-2.944343898,0.0987552064
SRX5694312,-2.2675151236,-0.27837551720000003,0.2741965069
SRX5694313,-4.9363369039,-2.5333074223,0.12295077100000001
SRX5694315,-0.2972379093,0.1569709739,-0.3737381984
SRX5694317,-2.0685174678,-0.2032089632,1.3424886167
SRX5694319,-1.5197044174,-0.8368382050000001,0.09932130680000001
SRX5694320,-4.6255388,-2.3553150399,0.0559133562
SRX5694321,-2.9320310577,-0.45124289300000003,-0.2242105774
SRX5694322,-4.7689161573,-1.4134269675,0.41129122560000003
SRX5694323,-5.207621294,-0.8655701673,-0.2049744387
SRX5694324,-11.821197143700001,-4.3260067855,0.1866328231
SRX5694325,-2.2520755837,-2.2787694234,-0.8589924069
