,A,TtdR,Fnr
SRX5694326,0.2599471746,-0.0524657337,-0.18501779240000002
SRX5694327,-9.0270511364,-4.0519892139,-0.3986390476
SRX5694328,-0.8561404560000001,-0.28946286860000003,-0.11461450370000001
SRX5694329,-2.0922090474,-0.8788519779,0.1534325597
SRX5694330,-5.5259999221000005,-0.4631778092,0.4256416268
SRX5694331,-0.135337761,0.213348014,0.1918842788
SRX5694332,-3.4474385651,-0.4512322823,0.2575678173
SRX5694334,-3.175549485,-2.5455035368,0.7809611414000001
SRX5694335,-2.0967772541,-0.9912045712,-1.0905972262999999
SRX5694336,-2.7642482469000003,-2.0229095302,0.0295461953
SRX5694337,-0.7134061143,-0.9118437716000001,-0.9098451584
SRX5694338,0.6056785988,0.23183092630000002,0.11093211330000001
SRX5694339,-1.2546782016,-0.6466697259,-0.2660034833
SRX5694340,-0.727070332,0.2124818215,0.1360391327
SRX5694341,-9.6313873746,-3.3259821477,0.3253789217
SRX5694342,0.10715312960000001,-1.4273172948,0.33467356740000004
SRX5694343,-2.7220437286,0.9795181597,-0.7654036895
SRX5694344,-0.12033079440000001,-0.5892216491,0.0720316185
SRX5694345,1.3072722405000001,-0.2448816439,-0.1127364899
SRX5694346,-5.4471440318,-0.25812056310000003,-0.1452747475
SRX5694347,0.028108519000000002,0.2146291117,-0.2103049645
SRX5694348,-0.3275836957,0.2711759375,0.6194313426
SRX5694349,-0.9665740202,0.015171946300000001,-0.0340580552
SRX5694350,-0.4308174524,-0.4981689815,-1.5589165824
SRX5694351,-1.7810445970000002,-1.3639276637,0.2389667466
SRX5694352,-1.1035631135,-1.0126816444,-0.1301723133
SRX5694353,-0.36352067600000004,-0.0155214305,0.0567992999
SRX5694354,-1.0011818612,-0.6661289956,0.4463184544
SRX5694356,-0.7273638596,-0.4189362347,-0.011770757000000001
SRX5694357,0.7658092278,-1.8071170704,0.4703427457
SRX5694358,-6.8575273378,-2.3326819834,0.7891519738
SRX5694359,1.0219257053,0.347491995,0.0823465979
SRX5694360,2.1193933796,0.2815919382,-0.21446519260000002
SRX5694361,-4.7004767129000005,-2.0937089511,0.5545946817
SRX5694362,-2.5119066773,-0.37903565240000003,-0.1556899832
SRX5694363,-3.7271299382,-1.8309081146000001,0.40866825960000003
SRX5694364,-3.635829014,-1.5938734914000001,-0.0307498051
SRX5694365,-11.0507429218,-3.6497486243,1.8984960352
SRX5694366,-0.2624214528,-0.8729551356,0.11935505780000001
SRX5694367,-4.0769807566,-3.2250627265,-0.7716038602
SRX5694368,-0.5053482637,-1.0964683803,-0.1062377801
SRX5694369,0.3139199421,0.2368542372,-0.0429042057
SRX5694370,-1.5876232701,0.1494611676,-0.1697118587
SRX5694371,-1.7094391930000001,-2.2929995061,-0.046749594000000005
SRX5694372,1.9195367436000002,0.43625900360000003,0.060263538500000005
SRX5694373,-1.6106593241,-0.5059920963,-1.4686879149
SRX5694374,-4.3987183829,-3.9113596452,0.2258676651
SRX5694375,0.19057698380000002,0.3791935328,-0.0180107938
SRX5694376,-0.9734690061000001,-0.40787200770000004,0.12440957970000001
SRX5694377,-6.0349006304,-2.5697588418,0.7205527484
SRX5694378,0.9096385556000001,-0.37314096760000004,-0.064859922
SRX5694379,-1.2013916715,-0.3601257559,-0.0946227506
SRX5694380,-5.5687115791,-0.1103921431,-0.1504039911
SRX5694381,-8.1354173887,-3.6585403413,1.0932260792
SRX5694382,-0.8053448108,0.2954362051,-0.3495048284
SRX5694383,0.5487481312,0.242490481,-0.19216870800000002
SRX5694384,0.8666655479,0.0682383928,0.2508705046
SRX5694385,-6.2168520621,-3.646779821,1.0236963855
SRX5694386,-13.062610292,-4.2127557383,0.8645055481
SRX5694387,0.1131581473,-0.5158970232,0.1051428429
SRX5694388,-11.4384078333,-3.2827913375,0.2708431966
SRX5694389,0.004576308,0.5809532654,0.2606390819
SRX5694390,0.4078642046,0.21464400500000003,0.3504676022
SRX5694391,-1.6159211743,-0.382245488,1.4535275098
SRX5694392,0.3270232658,1.4182910982,0.0944210472
SRX5694393,0.1762409883,0.1069150801,0.2067024995
SRX5694394,0.5155948579,0.2916029748,0.5219782296000001
SRX5694395,-3.7837675476,-1.4436599723999999,0.5121052174
SRX5694396,-0.1661933015,-1.2359059792,0.28659288180000003
SRX5694397,-1.8422237561,-0.8994912435,0.2130377387
SRX5694398,0.1629393829,0.4194165546,0.1522575818
SRX5694399,-0.4376674924,0.8046848169,-0.35454569550000004
SRX5694400,1.4139601057,0.3703310553,-0.3062884087
SRX5694401,-0.7944580783,0.3814654437,-0.0252304237
SRX5694402,-12.2104227742,-4.2251531301,0.7271274121
SRX5694403,-0.7701166728000001,-1.4813861767,-0.903332961
SRX5694404,0.2798087811,0.2032611476,0.6936041281
SRX5694405,-0.2726574916,0.5239996718000001,-0.7666040526
SRX5694406,-0.3419446595,-0.5532358192,0.2468405504
SRX5694407,0.4250496426,-0.2159842223,-0.4892115863
SRX5694408,-0.2306700075,0.0659377804,-0.129152751
SRX5694409,-6.2089806201,-2.2151197423,0.2983443387
SRX5694410,-1.387871773,0.1145696117,0.12871355610000002
SRX5694411,-1.6794384493,-1.3042108484,1.4088048351
SRX5694412,-0.672383685,-0.4708493771,0.08708125080000001
SRX5694413,-5.3557939739,0.4471724869,-0.42460153910000004
SRX5694414,-11.2367055655,-3.3572488064,0.9037219768
SRX5694415,-0.4642967892,0.5332042238,0.35278275610000004
SRX5694416,-0.27993555600000003,0.1892153898,-0.1301828894
SRX5694417,0.6506406857,0.4765285193,0.1499766492
SRX5694418,-10.9067733015,-4.3294557911,0.8640746426
SRX5694419,-1.5195951139,-1.6944395877,-0.014793680600000001
SRX5694420,-0.1034560643,-0.25380575450000004,-0.0468660871
SRX5694421,0.8591780943,-0.8008512896000001,0.1322961821
SRX5694422,-0.0582423849,0.2311955929,0.619159111
SRX5694423,0.5516305666,-1.4290085864,-0.0780351353
SRX5694424,-1.7275302841,-1.2913183165,-0.5733023752
SRX5694425,-0.085915747,-0.0522776511,0.3346755523
SRX5694426,-2.1629975464,-1.5006660937,0.6157335293
SRX5694427,-0.2219443864,0.5370092645,-0.029816820400000003
SRX5694428,-0.6541972068,0.5899781274,-0.1057688244
SRX5694429,-1.8898199981000001,-2.2463452847,1.4863412037
SRX5694430,-0.0995536842,0.4656523603,-0.0200467158
SRX5694431,-3.6153852496,-1.3209517612,0.6682181821000001
SRX5694432,1.7960741528000002,-0.29320311990000003,0.1093383753
SRX5694433,-5.166213419,0.6790922732,-0.42024945410000003
SRX5694434,-5.209785855,-0.8506924958000001,-1.0686406259
SRX5694435,-5.65808338,-3.3810563452,0.2624442987
SRX5694436,-5.8720082572,-2.7037175905,0.1838410419
SRX5694437,-12.44020491,-3.4394741428,1.4458719120999999
SRX5694438,0.2657044114,0.49085710670000005,0.061060066100000004
SRX5694439,-6.1667907625,-2.7794778106,0.8339819837
SRX5694440,0.32172115700000004,0.1091690028,0.2749615761
SRX5694441,-0.6841693184000001,-0.4663046792,0.1675077619
SRX5694442,-9.0984659044,-3.3984420683,0.2359552994
SRX5694443,1.2220214381,0.3171727361,-0.1143720156
SRX5694444,0.44237440320000004,0.08477328220000001,0.19924687600000002
SRX5694445,-4.0811821529,-2.5415706121,-0.1930182149
SRX5694446,-0.4666297606,-0.1546201022,0.021624803
SRX5694447,2.0611678903,0.17768633420000002,0.1404174962
SRX5694448,-3.7548250313000002,0.0262486888,0.7190717129
SRX5694449,-0.4679139385,0.3183136689,-0.106792127
SRX5694450,-2.2159396639,-0.6361172713000001,-0.5226446066
SRX5694451,0.6118040301000001,0.6041503292,-0.9448240483
SRX5694452,0.2450528929,-1.4871870417,0.3519942873
SRX5694453,-4.4145573988,-0.2722153292,-0.3420308308
SRX5694454,0.5997521983,-0.045011578600000005,0.2237971175
SRX5694455,-0.687763415,-1.7307964577,-0.09366302650000001
SRX5694456,-0.8746602074000001,-0.560467018,0.1884711132
SRX5694457,-1.0084337938,-0.42517317990000003,0.1897163396
SRX5694459,-0.0801115005,-0.24210369680000002,0.46955750020000003
SRX5694460,-1.2921252583,-2.0643669484,0.079054857
SRX5694461,1.158074739,0.2110972854,0.1562169847
SRX5694462,-2.3350285017,-2.543231605,0.5560831223
SRX5694463,-0.8059993186000001,-0.28749605440000003,0.16093619850000002
SRX5694464,1.8125717913,0.5797147945000001,0.21465859110000002
SRX5694465,0.2445708955,0.0146590399,-0.4506960218
SRX5694466,-7.0047118343,-1.9120699033,1.4078249743
SRX5694467,-0.5719942284,-0.9230475295,-0.024926434900000002
SRX5694468,-5.2492068472,-2.7356815548,0.28331731590000003
SRX5694469,-0.39770719520000003,0.0451785556,0.1656484172
SRX5694470,0.8976076091,-0.0927603084,0.0397621094
SRX5694471,0.1419130595,-0.1181148942,0.0295181061
SRX5694472,-3.3900383768,-1.5424334504,0.6765520599
SRX5694474,0.4118027269,-0.5052199472,-0.1313395527
SRX5694475,1.4153245919000002,0.3730113326,-1.1849000443
SRX5694476,-0.7634934652,0.6101785858000001,0.1917764428
SRX5694477,0.0748516163,-1.2977119257,-0.1254083886
SRX5694478,0.5386437517,1.1647664722,0.0413045956
SRX5694479,-2.1223831179,-1.1092144392,-1.2130654544000001
SRX5694480,-3.1033674912,0.8534868605,-1.1475451275
SRX5694481,1.9845994376,0.406271629,0.23990241980000002
SRX5694482,0.0886003078,-0.099979807,-0.042177127
SRX5694483,1.103849283,0.4970637023,-0.341587067
SRX5694484,0.7210025874,0.2318106668,0.1067217318
SRX5694485,-1.9304330716,-0.1372373129,1.3284647298
SRX5694486,0.3498717374,-0.10273184560000001,0.13667702310000002
SRX5694487,2.3738138465,0.3784844095,0.0400555976
SRX5694488,0.14155276290000002,0.019082352900000002,0.1579017148
SRX5694489,-1.4399658653,0.051378073,-0.2295144067
SRX5694491,-0.12223600180000001,-0.8000292052,-0.40999634500000004
SRX5694492,-0.8753957753,-1.8715804134,0.41635551470000004
SRX5694493,-9.1699396075,-4.9674504609,0.8852669989
SRX5694494,-0.3596252957,-1.2632193219,0.47019160320000003
SRX5694495,-0.37190731400000004,-0.4705238778,0.4263555999
SRX5694496,0.1820324783,-0.35223567710000003,0.0158778074
SRX5694497,-0.7913828994000001,-0.8477534721000001,-0.353805546
SRX5694498,0.28584033070000003,-0.4453779799,-0.0949833372
SRX5694499,-2.6790035764,0.18877229780000002,-0.0402154183
SRX5694500,-1.2302349579,-0.38275884590000003,-1.0545825032
SRX5694501,1.9918389236,0.45409952750000004,0.0329465014
SRX5694502,-3.9646672296,-1.3923445118,0.49062571110000003
SRX5694503,-9.7686700547,-4.1793667150000005,-2.5030278976
SRX5694504,0.2722695046,-0.2785779612,0.22288803100000001
SRX5694505,-8.1005970888,-3.4692130051,0.35465275100000004
SRX5694506,-4.6846309116,-1.4102779878,0.49303985780000004
SRX5694507,0.6204548204,-0.6258835771,0.0909615292
SRX5694508,-2.3404030718,0.311533989,-0.6050113022
SRX5694509,-2.3456954369,-1.1806810702,-0.9469901951
SRX5694510,-0.1606777517,0.3820838674,0.0893514383
SRX5694511,0.3848522593,-0.1970101522,0.533781862
SRX5694512,-0.1570735048,-0.7845153687,-0.5504288499000001
SRX5694513,-2.9646132937000003,0.4423849844,-1.5708370051
SRX5694514,-2.0307215533,-2.2076750293,0.025528003
SRX5694515,-11.2734311687,-4.4357677056,1.1960883277
SRX5694516,-5.2947289449,-2.2237481273,0.7337960436000001
SRX5694517,0.17074827380000002,-0.0891177439,0.16543111060000001
SRX5694518,0.9797442673000001,0.45941750330000003,-0.3013275018
SRX5694519,-3.1178678951,-1.0527879976,0.0524331097
SRX5694520,-1.5397834019,0.40366663420000004,-0.1296792457
SRX5694521,1.0512621587,0.0308563568,-0.1166385846
SRX5694522,0.30693982340000003,0.2954325641,0.5228202102
SRX5694523,-0.6655105615,0.30055033410000004,0.0620767183
SRX5694524,-0.9114663627,-0.217546928,-0.1670867104
SRX5694525,0.9540398772,0.07738113070000001,-0.023023933200000003
SRX5694526,-1.9068673957,-0.8736310144,-0.1780022674
SRX5694527,-2.6890455483,-0.9127263899,-1.288192235
SRX5694528,-3.6098979846,-1.3528975709,-1.1735091948
SRX5694529,-1.7857097585,0.09977760890000001,0.4256665049
SRX5694530,-0.8384440066000001,0.32464663520000003,-0.14596955720000002
SRX5694532,-1.3439453046,-1.5383343501,-0.6767342955
SRX5694533,-10.0356923533,-4.5835339862,1.5844404703000001
SRX5694534,-6.618053539,-2.7971947822,1.4941188956
SRX5694535,-0.8789543078000001,0.238416078,-0.0048985968
SRX5694536,0.024084691000000002,-0.2031943826,0.23466406990000002
SRX5694537,-0.1075461322,-1.0873670444,0.10958004780000001
SRX5694538,0.1127188357,-0.0740456092,0.2428538366
SRX5694539,0.2887998516,0.9443849557,0.0122195926
SRX5694540,-1.583751629,-2.1028636756,-0.7705289413
SRX5694541,1.0508013023,0.6005015358,0.14097936390000002
SRX5694543,-5.4964185038,-2.3764610535,0.7008066596
SRX5694544,1.1272591907,-0.19120882900000002,-0.2315847967
SRX5694545,-0.0096160926,0.4972378859,0.0029379619
SRX5694546,-2.1590575918,-1.4424274237999999,0.2023907492
SRX5694547,-0.42688359610000004,-0.0943112573,0.1023474546
SRX5694548,-0.6176720531000001,-0.09645508130000001,0.09042078
SRX5694550,-4.9365925565,-0.1509978408,-0.36047292010000004
SRX5694551,-0.0499650722,-0.2600155936,-0.15851963700000002
SRX5694552,0.257747962,0.2713106604,-0.47527159550000003
SRX5694553,0.8864631874000001,0.0050453495,0.1865548514
SRX5694554,0.3209512185,-0.8417324791,-0.3567155809
SRX5694555,-0.0985483129,-1.5204108457,0.4367343567
SRX6072760,-14.0042123146,-5.776751604,0.6625246456
SRX6072761,-9.4143246109,-4.4474015491,0.7880810208
SRX6072762,-14.1547561935,-5.4370967738000004,0.6348490171
SRX6072763,-11.7725922633,-4.3641263694,0.5130885568
SRX6072764,-9.9429209459,-4.7344418198,0.7836153299
SRX6072765,-13.6780365031,-4.7375429354000005,0.5666938681
SRX6376491,-4.1561779311,0.3956838686,-0.2069186369
SRX6376492,-4.1609946056,-2.8317967883,0.30096120800000004
SRX6376493,-3.4620007665,-2.8931987332,0.2233268874
SRX6376494,-5.7294110604,-1.6400628351000002,0.36914748480000004
SRX6376495,-3.8556353849000002,0.7227538318000001,-0.38116480880000003
SRX6376496,-3.7066466104,0.2867092048,-0.179866355
SRX2723951,2.0891400187,0.6977349083000001,0.3573392885
SRX2723952,2.7409505317000002,0.5605618528,0.5215083736
SRX2723953,1.5396479019,0.6622376881,0.4033689451
SRX2723954,2.1305854025,0.8499494988,0.10380176390000001
SRX2723955,2.8276408532,0.21620620540000002,0.4097892231
SRX2723956,1.2856221358,0.5660108742000001,0.5224825499
SRX2723957,-0.5617028041000001,-0.1702793208,0.1528474884
SRX2723958,1.4918027067000001,-0.2858655049,0.3481605142
SRX2723959,-0.5650127733,0.1415323514,-0.0266460084
SRX2723960,1.1416729694,0.6711815990000001,0.1774931888
SRX2723961,3.1001440484,0.8511550181,-0.1232001154
SRX2723962,0.0874562022,0.3040962284,0.190084841
SRX2723963,0.7944181368000001,0.0364876333,0.2671184528
SRX2723964,1.8287987761000002,0.3684787802,0.2566617834
SRX2723965,-0.0220526457,0.4501514945,0.1341478918
SRX2723966,-0.46805666560000003,-0.1274804891,-0.0535312287
SRX2723967,0.2027368108,0.1668010123,0.0033558917
SRX2723968,0.2653198547,-0.0393205232,0.050175337
SRX6977206,4.3867061251,-0.553982171,0.0681602907
SRX6977207,5.5441609211,-0.40719987550000003,-0.1688407481
SRX6977208,-0.9118260799000001,-0.1588969054,0.44868520630000003
SRX6977209,0.5091254989,0.2139041684,0.41306374030000004
SRX6977210,0.6935378253000001,0.1853988586,0.3264594677
SRX6977211,-0.3730641163,-0.9185401454000001,0.28664804520000003
SRX6977212,0.5744234413,0.6340035079,-0.0931429685
SRX6977213,-0.2013593249,0.2845366374,-0.1935050767
SRX6977214,3.5199106717,-0.8019427844,-0.101350492
SRX1153733,0.3403800415,0.238537673,-0.0045074173
SRX1153734,-0.3403800415,-0.238537673,0.0045074173
SRX1153735,-0.1078373473,0.4086154971,0.0400032595
SRX1153736,-0.4783513069,-0.3817673346,0.3296413226
SRX5204053,-4.9995043291000005,-1.097987801,0.2247859218
SRX5204054,-5.0500368229,-1.465291309,0.1810715899
SRX5204055,-4.3467801851,-1.7774031034000002,0.1722943406
SRX5204056,-10.2867984785,-1.9913849009,0.4185490194
SRX5204057,-9.669727004,-2.4227052468,0.4755510751
SRX5204058,-9.9065817491,-1.9315883217,0.5168922582000001
SRX5204059,0.6184994589,0.1448600714,0.422114445
SRX5204060,0.2376799497,-0.7215740954000001,0.285798337
SRX5204061,-0.3443977078,-1.1015965311,0.2501234208
SRX5204062,-3.0202962356,-1.5575914607999999,0.316269336
SRX5204063,-3.031243914,-2.0559086271,0.2082039373
SRX5204064,4.7608050373,0.18230507840000001,0.1760932673
SRX5204065,-8.4918649891,-2.2470180512,0.5466445614000001
SRX5204066,-7.1592472182,-2.2821037213,0.5152025342000001
SRX5204067,-7.5622096653,-1.8616771616,0.400732146
SRX5204068,6.9834420588,0.6650967708000001,0.1717214819
SRX5204069,7.1891490435,1.4401103444,0.0191047924
SRX5204070,5.2983218602,-0.1809805041,0.3088587501
SRX5204071,6.0439901676,1.3048626051,0.2009671556
SRX5204072,5.3273477505999995,0.5820044337,0.0443876464
SRX5204073,4.2251501748999996,0.4143926254,0.2179832945
SRX5204074,4.5279854478,-0.5243849433000001,0.332161076
SRX5204075,6.7312664687,0.9755901158,-0.0487828519
SRX5204076,5.1774794901,-0.4694124256,0.22229229550000001
SRX5204077,5.812813941,0.5977077098,-0.13260173050000001
SRX5204078,4.4486198771,-0.1223038733,0.0773141388
SRX5204079,6.1288897738,0.063599203,-0.0241015952
SRX5204080,1.3499566272,-1.0526883386,0.5893290409
SRX5204081,-0.8875681311,-1.4893520285,0.3070388345
SRX5204082,-0.9743131573,-1.2615673207,0.2197501316
SRX5204083,-7.378827191,-1.7838243528,0.287546719
SRX5204084,-7.8819990663,-1.0076250783,0.40118421330000004
SRX5204085,-6.5356927317,-1.8747499586,0.388749069
SRX5204086,-3.2605087324,-1.3422235516,0.20197490540000002
SRX5204087,-5.795421207,-1.6288738756,0.17172482890000001
SRX5204088,-4.3987928897,-0.8836520648,0.2927978321
SRX5204089,-6.5755159034,-1.9148296345,0.2198247872
SRX5204090,-3.0934603297,-0.2951860611,0.0283784921
SRX5204091,-6.7079311239,-1.1886928763,0.1787224295
SRX5204092,-6.9564687044,-1.1301520285,0.35757155150000003
SRX5204093,-7.3594018329,-1.7013772391000002,0.32179454960000003
SRX5204094,-1.3215985606,-0.7204380435000001,0.2417419562
SRX5204095,0.8654749923,0.5427255304,0.014165511200000001
SRX5204096,-1.3161085575,-0.4560024297,0.052952773200000004
SRX5204097,0.45063356530000004,-0.0867231007,-0.0671182844
SRX683459,0.0932434745,0.0313096665,-0.0865634136
SRX683460,4.2338197191999996,0.2754648616,1.4925420012
SRX683461,0.2836180347,-0.4308171081,0.0187624909
SRX683462,2.7424858039,-0.1074441542,1.3185055078
SRX683463,-0.3768615092,0.3995074416,0.0678009227
SRX683464,5.5038332591,0.42636611960000004,1.2534834047
SRX683465,0.8315872521000001,0.2156755048,0.0170366385
SRX683466,4.6299467635,1.4642501682,1.3079558571
SRX683467,0.2127468401,1.058951674,-0.0336556815
SRX683468,4.3286842437,-0.1006211552,1.0205551288
SRX683469,1.2003160813,0.6725532980000001,0.0949490676
SRX683470,4.8652573082,0.1913154829,1.441513244
SRX322077,-0.35641324360000004,0.6297171452,-0.1323695671
SRX322078,1.7423532362,0.7368790683,-0.2324718932
SRX322079,0.5636808915,0.19268077620000001,-0.10928785190000001
SRX322080,-0.4452462025,0.5089983714,-0.32368347410000003
SRX322081,0.489151284,-1.1460229367,-0.11529488510000001
SRX322082,0.053176570900000004,0.3132844607,-0.22967213860000002
SRX322083,0.9962508355,-0.45398619020000003,0.2338020884
SRX322084,-1.1122902793,0.4132944887,-0.3037351931
SRX322085,0.1160394438,0.0406917015,0.0699331047
SRX2708592,-8.6827728042,-3.640731526,1.1604539591
SRX2708593,-7.0386819141,-2.7339264791,0.4299474667
SRX2708594,-1.8566118406,-1.0902250156,0.3209733046
SRX2708595,-0.48871201420000004,-0.3251145653,0.3724001926
SRX2708596,0.1775990879,0.0942817657,-0.1817715842
SRX2708597,0.31111292630000004,0.2308327996,-0.1906286084
SRX2708598,-0.8568928238,-0.2791992466,-0.37520259570000003
SRX2708600,-1.2217937551,-0.2586453114,0.0849805542
SRX2708601,0.6942498850000001,-0.1618398804,0.2663450693
SRX2708602,-0.4708044505,-0.23441296800000003,-0.4927120686
SRX2708603,0.5171419318,-0.123111015,-0.0509766252
SRX3073814,0.000611038,0.25767803240000003,-0.0513239485
SRX3073815,2.5446690868,-0.6172082720000001,-2.3506769454
SRX3073816,4.4042761561,-0.4042854302,-5.1327364186
SRX3073817,4.2793653138,-0.13454356850000002,-5.1188929344
SRX3073818,4.2914482372,0.6502329625000001,-4.3981483095
SRX3073819,-0.9473193623,-0.3496835753,-0.1353633723
SRX3073820,2.5104638654,-0.41119800300000003,-3.5406721412
SRX3073821,6.0880140613,-0.3125920901,-5.2387007732
SRX3073822,4.1578768885,0.0142288377,-4.5451895689
SRX3073823,2.9987549086,0.7089874109000001,-4.1218901623
SRX3073824,-0.000611038,-0.25767803240000003,0.0513239485
SRX3073825,2.188174121,-0.3054978323,-2.7297899689
SRX3073826,5.6090824404,0.1016287077,-5.6583522764000005
SRX3073827,4.8274909264,0.0035061745,-5.0748165103
SRX3073828,4.9888097734,-0.1762249729,-3.9025083213
SRX3073829,0.1153159612,-0.2506532957,-0.0606556909
SRX3073830,3.7304246393,-0.6172082720000001,-3.6474522219
SRX3073831,4.4025266325,-0.6172082720000001,-5.2328087462
SRX3073832,4.2201596618,-0.38631908140000004,-4.6032559245
SRX3073833,4.1963718449,1.3981262897,-3.272672501
SRX2391456,1.1942026229,0.1966864891,0.2888071605
SRX2391457,0.0936702447,-0.0427498918,0.1720216361
